name,group,size
598,0,271
603,1,3
720,2,6
918,3,5
1077,4,230
1245,5,4
1588,6,179
1615,7,4
1684,8,17
1732,9,40
1734,10,3
1802,11,14
2098,12,22
2173,13,197
2191,14,591
2233,15,66
2285,16,10
2360,17,174
2386,18,107
2413,19,26
2429,20,3
2535,21,171
2616,22,553
2691,23,384
2726,24,10
2739,25,24
2778,26,5
2782,27,57
3200,28,62
3260,29,40
