name,group,size
20,0,36
427,1,2
591,2,6
705,3,328
752,4,9
759,5,3
841,6,7
867,7,1
1145,8,2
1165,9,70
1179,10,220
1216,11,41
1229,12,42
1244,13,100
1253,14,70
1269,15,214
1279,16,25
1292,17,2
1303,18,25
1311,19,3
1321,20,1
1386,21,9
1416,22,16
1424,23,108
1441,24,1
1464,25,374
1508,26,33
1515,27,3
1700,28,5
1745,29,11
