citing_cluster,cited_cluster
20,25,1.0
22,13,3.0
17,7,1.0
1,17,1.0
0,7,1.0
18,19,1.0
9,18,1.0
6,17,2.0
6,7,1.0
25,4,1.0
27,25,2.0
25,15,1.0
16,25,2.0
23,25,2.0
2,7,1.0
19,6,2.0
18,2,1.0
25,18,3.0
12,25,1.0
18,17,3.0
2,17,1.0
11,7,1.0
18,25,5.0
25,27,1.0
6,13,1.0
25,2,1.0
28,25,1.0
7,21,1.0
29,17,2.0
25,5,1.0
25,11,2.0
27,11,1.0
25,8,1.0
9,25,4.0
17,6,1.0
19,7,1.0
15,25,1.0
5,25,7.0
19,25,1.0
26,7,2.0
11,18,1.0
17,14,1.0
17,19,2.0
3,13,1.0
12,7,1.0
19,17,4.0
10,19,1.0
13,6,3.0
25,28,3.0
6,19,1.0
24,25,2.0
18,29,1.0
7,17,1.0
11,25,5.0
