citing_cluster,cited_cluster
6,28,2.0
21,28,2.0
18,4,9.0
23,26,1.0
22,6,6.0
21,6,3.0
9,0,3.0
14,18,1.0
11,22,4.0
0,17,1.0
24,14,2.0
0,4,29.0
27,28,1.0
29,17,1.0
6,0,3.0
16,0,1.0
6,23,13.0
17,13,10.0
21,18,4.0
20,14,1.0
22,25,1.0
23,28,1.0
23,9,2.0
10,14,1.0
14,21,14.0
24,21,1.0
13,0,2.0
0,27,1.0
27,21,3.0
26,23,1.0
0,14,30.0
28,22,11.0
27,6,3.0
6,14,6.0
17,6,2.0
0,6,3.0
23,21,4.0
23,6,13.0
21,27,4.0
14,28,1.0
11,4,1.0
14,19,3.0
0,18,6.0
14,6,3.0
13,6,4.0
25,14,1.0
0,8,1.0
4,11,1.0
27,0,2.0
4,6,11.0
4,17,1.0
17,12,1.0
23,18,3.0
21,14,35.0
18,22,37.0
22,13,13.0
8,0,1.0
23,8,2.0
11,14,3.0
24,22,9.0
14,9,2.0
0,28,5.0
0,15,1.0
1,14,1.0
29,22,11.0
7,14,1.0
20,22,1.0
22,17,9.0
21,23,18.0
22,4,14.0
21,4,4.0
18,28,1.0
22,11,1.0
9,6,1.0
14,29,4.0
25,13,2.0
28,4,6.0
4,18,5.0
18,23,4.0
22,2,1.0
23,11,1.0
14,27,4.0
9,17,2.0
24,23,4.0
25,22,14.0
27,23,7.0
4,14,15.0
28,14,3.0
6,19,1.0
17,9,2.0
21,22,40.0
18,14,1.0
23,0,15.0
22,8,3.0
23,13,2.0
15,27,1.0
14,17,6.0
14,4,10.0
13,17,10.0
4,0,30.0
19,14,3.0
16,22,4.0
17,23,5.0
22,28,5.0
9,14,13.0
11,0,2.0
15,14,17.0
27,22,13.0
13,23,4.0
4,15,1.0
5,14,1.0
6,13,16.0
4,21,4.0
19,23,4.0
21,24,1.0
18,0,8.0
22,23,54.0
23,22,69.0
9,4,2.0
14,22,133.0
0,21,3.0
0,24,1.0
25,23,1.0
28,6,1.0
6,4,1.0
4,28,1.0
16,4,1.0
16,23,2.0
29,14,9.0
17,22,59.0
21,11,2.0
18,21,1.0
22,0,23.0
8,22,1.0
9,23,1.0
14,12,2.0
13,9,1.0
13,22,38.0
28,18,2.0
4,22,19.0
19,22,6.0
16,14,4.0
6,17,4.0
23,17,1.0
22,27,4.0
22,14,70.0
23,15,1.0
14,23,17.0
0,22,33.0
15,22,29.0
12,14,2.0
25,18,1.0
27,4,1.0
6,8,1.0
17,0,4.0
22,18,9.0
23,27,2.0
22,1,1.0
23,4,19.0
8,23,2.0
9,22,10.0
11,23,2.0
14,0,19.0
3,14,1.0
27,14,18.0
4,23,26.0
6,22,23.0
5,22,1.0
17,14,20.0
22,21,8.0
23,16,1.0
21,0,20.0
18,24,1.0
23,29,1.0
22,15,5.0
23,14,20.0
0,23,9.0
25,17,2.0
13,14,1.0
26,22,3.0
28,0,7.0
