citing_cluster,cited_cluster
37,32,2.0
39,26,2.0
19,14,1.0
20,14,7.0
20,9,1.0
35,36,1.0
34,36,2.0
39,20,2.0
36,39,5.0
9,14,10.0
33,14,1.0
36,13,6.0
26,37,2.0
31,24,1.0
15,14,8.0
31,21,1.0
29,37,1.0
39,14,6.0
10,36,2.0
17,39,1.0
14,36,4.0
12,39,1.0
18,36,1.0
0,39,2.0
5,14,13.0
10,14,14.0
31,2,4.0
29,14,1.0
36,2,1.0
2,37,2.0
34,14,6.0
39,12,1.0
5,37,3.0
39,13,1.0
14,5,2.0
14,28,1.0
39,3,1.0
15,10,1.0
25,14,3.0
39,10,1.0
20,5,1.0
36,14,9.0
14,12,2.0
5,20,1.0
30,36,1.0
29,36,1.0
10,37,3.0
26,14,4.0
14,37,1.0
36,37,3.0
13,37,1.0
36,27,1.0
16,14,2.0
14,9,1.0
12,9,1.0
8,36,1.0
6,36,1.0
12,20,1.0
31,36,5.0
37,26,1.0
20,27,1.0
2,39,1.0
7,14,2.0
14,10,4.0
12,14,30.0
14,29,1.0
36,10,1.0
37,11,1.0
14,7,1.0
26,31,1.0
37,36,4.0
37,14,7.0
36,26,1.0
32,37,2.0
30,37,1.0
35,37,1.0
34,39,1.0
27,14,2.0
13,36,3.0
37,39,2.0
1,36,3.0
39,36,8.0
20,39,1.0
27,36,3.0
26,36,2.0
36,31,6.0
17,14,1.0
38,14,1.0
31,39,1.0
4,14,1.0
23,14,2.0
13,39,1.0
28,14,9.0
14,20,1.0
15,2,1.0
13,14,1.0
26,5,1.0
32,5,1.0
39,31,5.0
37,5,1.0
22,39,1.0
