article_doi,group
10.1103/PhysRevLett.100.014501,624
10.1103/PhysRevLett.100.025003,624
10.1103/PhysRevLett.100.045001,624
10.1103/PhysRevLett.100.055002,624
10.1103/PhysRevLett.100.055003,624
10.1103/PhysRevLett.100.058103,624
10.1103/PhysRevLett.100.095003,624
10.1103/PhysRevLett.100.113401,624
10.1103/PhysRevLett.100.155002,624
10.1103/PhysRevLett.100.185004,624
10.1103/PhysRevLett.100.188305,624
10.1103/PhysRevLett.100.205007,624
10.1103/PhysRevLett.100.225003,624
10.1103/PhysRevLett.100.225005,624
10.1103/PhysRevLett.100.254502,624
10.1103/PhysRevLett.101.025001,624
10.1103/PhysRevLett.101.065006,624
10.1103/PhysRevLett.101.125002,624
10.1103/PhysRevLett.101.195003,624
10.1103/PhysRevLett.101.235001,624
10.1103/PhysRevLett.102.028001,624
10.1103/PhysRevLett.102.038302,624
10.1103/PhysRevLett.102.045001,624
10.1103/PhysRevLett.102.085002,624
10.1103/PhysRevLett.102.085003,624
10.1103/PhysRevLett.102.097202,624
10.1103/PhysRevLett.102.135002,624
10.1103/PhysRevLett.102.185001,624
10.1103/PhysRevLett.102.215001,624
10.1103/PhysRevLett.102.225006,624
10.1103/PhysRevLett.102.228102,624
10.1103/PhysRevLett.102.238101,624
10.1103/PhysRevLett.102.245004,624
10.1103/PhysRevLett.102.255005,624
10.1103/PhysRevLett.103.015001,624
10.1103/PhysRevLett.103.035003,624
10.1103/PhysRevLett.103.115002,624
10.1103/PhysRevLett.103.195001,624
10.1103/PhysRevLett.103.215001,624
10.1103/PhysRevLett.103.245002,624
10.1103/PhysRevLett.103.245005,624
10.1103/PhysRevLett.103.255003,624
10.1103/PhysRevLett.104.155501,624
10.1103/PhysRevLett.104.165003,624
10.1103/PhysRevLett.104.195001,624
10.1103/PhysRevLett.104.215003,624
10.1103/PhysRevLett.104.235002,624
10.1103/PhysRevLett.105.025002,624
10.1103/PhysRevLett.105.045001,624
10.1103/PhysRevLett.105.055002,624
10.1103/PhysRevLett.105.075002,624
10.1103/PhysRevLett.105.084502,624
10.1103/PhysRevLett.105.085004,624
10.1103/PhysRevLett.105.115004,624
10.1103/PhysRevLett.106.135001,624
10.1103/PhysRevLett.106.138101,624
10.1103/PhysRevLett.106.140601,624
10.1103/PhysRevLett.106.155001,624
10.1103/PhysRevLett.106.155002,624
10.1103/PhysRevLett.106.175001,624
10.1103/PhysRevLett.106.205001,624
10.1103/PhysRevLett.106.215004,624
10.1103/PhysRevLett.107.135003,624
10.1103/PhysRevLett.107.175003,624
10.1103/PhysRevLett.107.237803,624
10.1103/PhysRevLett.108.065004,624
10.1103/PhysRevLett.108.135005,624
10.1103/PhysRevLett.108.225001,624
10.1103/PhysRevLett.108.255002,624
10.1103/PhysRevLett.109.055002,624
10.1103/PhysRevLett.109.135001,624
10.1103/PhysRevLett.109.155003,624
10.1103/PhysRevLett.109.175001,624
10.1103/PhysRevLett.109.185002,624
10.1103/PhysRevLett.109.245002,624
10.1103/PhysRevLett.109.245007,624
10.1103/PhysRevLett.110.035001,624
10.1103/PhysRevLett.111.015002,624
10.1103/PhysRevLett.111.065001,624
10.1103/PhysRevLett.111.118501,624
10.1103/PhysRevLett.111.155002,624
10.1103/PhysRevLett.111.185003,624
10.1103/PhysRevLett.112.115002,624
10.1103/PhysRevLett.112.218001,624
10.1103/PhysRevLett.113.025002,624
10.1103/PhysRevLett.113.135002,624
10.1103/PhysRevLett.114.055002,624
10.1103/PhysRevLett.98.015001,624
10.1103/PhysRevLett.98.015004,624
10.1103/PhysRevLett.98.075701,624
10.1103/PhysRevLett.98.105002,624
10.1103/PhysRevLett.98.145003,624
10.1103/PhysRevLett.98.236801,624
10.1103/PhysRevLett.98.265006,624
10.1103/PhysRevLett.99.025002,624
10.1103/PhysRevLett.99.055003,624
10.1103/PhysRevLett.99.075002,624
10.1103/PhysRevLett.99.095002,624
10.1103/PhysRevLett.99.135004,624
10.1103/PhysRevLett.99.138103,624
10.1103/PhysRevLett.99.205701,624
10.1103/PhysRevX.5.011002,624
10.1103/RevModPhys.81.1353,624
10.1103/RevModPhys.81.25,624
