citing_doi,cited_doi
10.1103/RevModPhys.87.401,10.1103/PhysRevLett.99.098101
10.1103/PhysRevLett.104.258102,10.1103/PhysRevLett.100.188301
10.1103/PhysRevLett.105.045502,10.1103/PhysRevLett.98.018101
10.1103/PhysRevLett.108.247801,10.1103/PhysRevLett.100.168301
10.1103/RevModPhys.87.401,10.1103/PhysRevLett.105.045502
10.1103/PhysRevLett.108.247801,10.1103/PhysRevLett.103.238303
10.1103/PhysRevLett.101.105702,10.1103/PhysRevLett.100.168301
10.1103/PhysRevLett.100.168301,10.1103/PhysRevLett.98.086101
10.1103/PhysRevLett.101.157801,10.1103/PhysRevLett.99.098101
10.1103/PhysRevLett.103.257801,10.1103/PhysRevLett.99.197802
10.1103/PhysRevLett.112.225502,10.1103/PhysRevLett.110.165502
10.1103/RevModPhys.87.401,10.1103/PhysRevLett.112.225502
10.1103/PhysRevLett.101.215901,10.1103/PhysRevLett.99.197802
10.1103/PhysRevLett.111.037801,10.1103/PhysRevLett.99.197802
10.1103/PhysRevLett.101.157801,10.1103/PhysRevLett.100.127801
10.1103/PhysRevLett.106.038301,10.1103/PhysRevLett.99.197802
10.1103/PhysRevLett.103.248304,10.1103/PhysRevLett.101.215901
10.1103/PhysRevLett.100.188301,10.1103/PhysRevLett.99.098101
10.1103/PhysRevLett.112.225502,10.1103/PhysRevLett.105.045502
10.1103/PhysRevLett.110.048102,10.1103/PhysRevLett.109.158101
10.1103/PhysRevLett.103.248304,10.1103/PhysRevLett.99.197802
10.1103/PhysRevX.4.021053,10.1103/PhysRevLett.109.108303
10.1103/PhysRevLett.100.127801,10.1103/PhysRevLett.99.086106
10.1103/PhysRevLett.100.168301,10.1103/PhysRevLett.99.098101
10.1103/PhysRevLett.99.098101,10.1103/PhysRevLett.98.018101
10.1103/PhysRevLett.111.037801,10.1103/PhysRevLett.101.215901
10.1103/PhysRevX.4.021053,10.1103/PhysRevLett.99.197802
10.1103/PhysRevLett.105.045502,10.1103/PhysRevLett.99.098101
10.1103/PhysRevLett.110.048102,10.1103/PhysRevLett.98.018101
10.1103/PhysRevLett.99.098101,10.1103/PhysRevLett.98.187802
10.1103/PhysRevLett.103.257801,10.1103/PhysRevLett.101.215901
10.1103/PhysRevLett.105.137801,10.1103/PhysRevLett.100.127801
10.1103/PhysRevLett.101.105702,10.1103/PhysRevLett.99.098101
10.1103/PhysRevLett.103.257804,10.1103/PhysRevLett.101.157801
10.1103/PhysRevLett.104.258102,10.1103/PhysRevLett.99.098101
10.1103/PhysRevLett.106.208302,10.1103/PhysRevLett.100.168301
10.1103/PhysRevLett.108.247801,10.1103/PhysRevLett.106.208302
10.1103/RevModPhys.87.401,10.1103/PhysRevLett.104.258102
10.1103/PhysRevX.4.021053,10.1103/PhysRevLett.100.168301
10.1103/PhysRevLett.101.157801,10.1103/PhysRevLett.99.086106
10.1103/PhysRevLett.113.268103,10.1103/PhysRevLett.109.158101
10.1103/PhysRevLett.100.168301,10.1103/PhysRevLett.99.197802
10.1103/PhysRevLett.110.058301,10.1103/PhysRevLett.99.098101
10.1103/PhysRevLett.104.258102,10.1103/PhysRevLett.101.157801
10.1103/PhysRevLett.106.038301,10.1103/PhysRevLett.101.120605
10.1103/PhysRevLett.109.108303,10.1103/PhysRevLett.100.168301
10.1103/PhysRevLett.103.238102,10.1103/PhysRevLett.99.098101
10.1103/PhysRevLett.106.038301,10.1103/PhysRevLett.103.248304
10.1103/PhysRevLett.109.108303,10.1103/PhysRevLett.99.197802
10.1103/PhysRevLett.111.037801,10.1103/PhysRevLett.100.168301
