citing_doi,cited_doi
10.1103/PhysRevLett.108.077002,10.1103/PhysRevLett.101.047005
10.1103/PhysRevLett.113.266402,10.1103/PhysRevLett.100.016403
10.1103/PhysRevLett.113.236401,10.1103/PhysRevLett.101.033003
10.1103/PhysRevLett.108.236601,10.1103/PhysRevLett.99.176803
10.1103/PhysRevLett.113.266402,10.1103/PhysRevLett.102.056805
10.1103/PhysRevLett.104.036804,10.1103/PhysRevLett.101.056602
10.1103/PhysRevLett.106.236601,10.1103/PhysRevLett.100.126401
10.1103/PhysRevLett.102.116802,10.1103/PhysRevLett.101.056602
10.1103/PhysRevLett.103.167003,10.1103/PhysRevLett.101.047005
10.1103/PhysRevLett.106.206602,10.1103/PhysRevLett.102.116802
10.1103/PhysRevLett.109.073001,10.1103/PhysRevLett.101.033003
10.1103/PhysRevLett.113.046801,10.1103/PhysRevLett.106.236601
10.1103/PhysRevLett.108.166605,10.1103/PhysRevLett.102.236806
10.1103/PhysRevLett.108.166605,10.1103/PhysRevLett.104.036804
10.1103/PhysRevLett.111.046602,10.1103/PhysRevLett.101.047005
10.1103/PhysRevLett.104.066805,10.1103/PhysRevLett.102.116802
10.1103/PhysRevLett.106.206602,10.1103/PhysRevLett.98.196601
10.1103/PhysRevLett.106.146801,10.1103/PhysRevLett.99.176803
10.1103/PhysRevLett.104.066805,10.1103/PhysRevLett.101.047005
10.1103/PhysRevLett.104.036804,10.1103/PhysRevLett.102.236806
10.1103/PhysRevLett.108.236601,10.1103/PhysRevLett.105.246807
10.1103/PhysRevLett.106.206602,10.1103/PhysRevLett.101.056602
10.1103/PhysRevLett.114.206601,10.1103/PhysRevLett.113.046801
10.1103/PhysRevLett.101.016804,10.1103/PhysRevLett.98.196601
10.1103/PhysRevLett.108.236601,10.1103/PhysRevLett.106.206602
10.1103/PhysRevLett.114.206601,10.1103/PhysRevLett.102.116802
10.1103/PhysRevLett.106.206602,10.1103/PhysRevLett.105.246807
10.1103/PhysRevLett.108.106603,10.1103/PhysRevLett.103.167003
10.1103/PhysRevLett.113.266402,10.1103/PhysRevLett.113.046801
10.1103/PhysRevLett.114.206601,10.1103/PhysRevLett.98.196601
10.1103/PhysRevLett.103.167003,10.1103/PhysRevLett.101.187002
10.1103/PhysRevLett.105.246807,10.1103/PhysRevLett.98.196601
10.1103/PhysRevLett.114.206601,10.1103/PhysRevLett.105.246807
10.1103/PhysRevLett.104.036804,10.1103/PhysRevLett.102.116802
10.1103/PhysRevLett.104.066805,10.1103/PhysRevLett.101.056602
10.1103/PhysRevLett.106.206602,10.1103/PhysRevLett.99.176803
10.1103/PhysRevLett.111.046602,10.1103/PhysRevLett.101.187002
10.1103/PhysRevLett.114.206601,10.1103/PhysRevLett.106.206602
10.1103/PhysRevLett.109.246403,10.1103/PhysRevLett.101.033003
10.1103/PhysRevLett.109.073001,10.1103/PhysRevLett.100.133002
10.1103/PhysRevLett.113.236401,10.1103/PhysRevLett.113.046801
