citing_doi,cited_doi
10.1103/PhysRevLett.112.126801,10.1103/PhysRevLett.99.097401
10.1103/PhysRevLett.108.206401,10.1103/PhysRevLett.104.070801
10.1103/PhysRevLett.103.087405,10.1103/PhysRevLett.101.226808
10.1103/PhysRevLett.111.026403,10.1103/PhysRevLett.98.117402
10.1103/PhysRevX.4.011012,10.1103/PhysRevLett.107.146801
10.1103/PhysRevLett.103.213601,10.1103/PhysRevLett.99.183001
10.1103/PhysRevLett.105.257402,10.1103/PhysRevLett.100.156803
10.1103/PhysRevLett.109.236803,10.1103/PhysRevLett.102.216802
10.1103/PhysRevLett.108.080501,10.1103/PhysRevLett.104.130501
10.1103/PhysRevLett.108.093602,10.1103/PhysRevLett.105.257402
10.1103/PhysRevLett.100.096602,10.1103/PhysRevLett.98.140503
10.1103/PhysRevLett.115.087602,10.1103/PhysRevLett.114.017601
10.1103/PhysRevLett.107.223601,10.1103/PhysRevLett.102.146803
10.1103/PhysRevLett.109.233603,10.1103/PhysRevLett.104.123605
10.1103/PhysRevLett.114.247603,10.1103/PhysRevLett.112.187601
10.1103/PhysRevLett.113.046602,10.1103/PhysRevLett.111.186602
10.1103/PhysRevLett.106.146804,10.1103/PhysRevLett.99.246601
10.1103/PhysRevLett.110.013602,10.1103/PhysRevLett.103.207403
10.1103/PhysRevLett.115.173601,10.1103/PhysRevLett.106.020501
10.1103/PhysRevLett.109.110502,10.1103/PhysRevLett.104.220502
10.1103/PhysRevLett.111.026403,10.1103/PhysRevLett.106.103601
10.1103/PhysRevLett.107.216802,10.1103/PhysRevLett.101.226805
10.1103/PhysRevLett.110.086601,10.1103/PhysRevLett.99.096804
10.1103/PhysRevLett.105.200402,10.1103/PhysRevLett.101.180403
10.1103/PhysRevX.2.031007,10.1103/PhysRevLett.102.170501
10.1103/PhysRevLett.109.147401,10.1103/PhysRevLett.100.120501
10.1103/PhysRevLett.113.243601,10.1103/PhysRevLett.109.166806
10.1103/PhysRevLett.112.156601,10.1103/RevModPhys.85.79
10.1103/PhysRevLett.111.203601,10.1103/PhysRevLett.103.167402
10.1103/PhysRevLett.113.027403,10.1103/PhysRevLett.104.073904
10.1103/PhysRevLett.113.137601,10.1103/PhysRevLett.109.137601
10.1103/PhysRevLett.101.027401,10.1103/PhysRevLett.100.177401
10.1103/PhysRevLett.101.236804,10.1103/PhysRevLett.99.097401
10.1103/RevModPhys.85.961,10.1103/PhysRevLett.108.046803
10.1103/PhysRevLett.109.236805,10.1103/PhysRevLett.99.246602
10.1103/PhysRevLett.99.097401,10.1103/PhysRevLett.98.036808
10.1103/PhysRevLett.110.167401,10.1103/PhysRevLett.99.097401
10.1103/PhysRevLett.107.206806,10.1103/PhysRevLett.107.026602
10.1103/PhysRevLett.111.067403,10.1103/PhysRevLett.98.187401
10.1103/PhysRevLett.113.237601,10.1103/PhysRevLett.98.100504
10.1103/PhysRevLett.107.087401,10.1103/PhysRevLett.106.040504
10.1103/RevModPhys.85.961,10.1103/PhysRevLett.102.176806
10.1103/PhysRevLett.105.216803,10.1103/PhysRevLett.101.047601
10.1103/PhysRevLett.113.265303,10.1103/PhysRevX.4.021044
10.1103/PhysRevLett.105.187602,10.1103/PhysRevLett.102.237601
10.1103/PhysRevX.2.031007,10.1103/PhysRevLett.99.040501
10.1103/PhysRevLett.108.187401,10.1103/PhysRevLett.105.107401
10.1103/PhysRevLett.103.046601,10.1103/PhysRevLett.100.156803
10.1103/PhysRevLett.99.047402,10.1103/PhysRevLett.98.036808
10.1103/PhysRevLett.110.117402,10.1103/PhysRevLett.104.126401
10.1103/PhysRevLett.104.090501,10.1103/PhysRevLett.104.040401
10.1103/PhysRevLett.99.256405,10.1103/PhysRevLett.98.026806
10.1103/PhysRevLett.113.027403,10.1103/PhysRevLett.101.027401
10.1103/PhysRevLett.110.157601,10.1103/PhysRevLett.102.087604
10.1103/PhysRevLett.113.263601,10.1103/PhysRevLett.109.033604
10.1103/PhysRevLett.111.170801,10.1103/PhysRevLett.106.030802
10.1103/PhysRevLett.108.226802,10.1103/PhysRevLett.102.216802
10.1103/PhysRevX.4.031022,10.1103/PhysRevLett.110.130802
10.1103/PhysRevLett.112.156601,10.1103/PhysRevLett.101.206601
10.1103/RevModPhys.87.347,10.1103/PhysRevLett.111.090502
10.1103/PhysRevLett.109.137601,10.1103/PhysRevLett.105.200402
10.1103/PhysRevLett.107.057401,10.1103/PhysRevLett.101.027401
10.1103/PhysRevLett.110.213605,10.1103/PhysRevLett.108.206401
10.1103/PhysRevLett.107.127403,10.1103/PhysRevLett.98.036808
10.1103/PhysRevLett.107.170504,10.1103/PhysRevLett.98.100504
10.1103/PhysRevLett.115.216804,10.1103/PhysRevLett.106.040505
10.1103/PhysRevLett.112.050503,10.1103/PhysRevLett.105.200402
10.1103/PhysRevLett.110.070503,10.1103/PhysRevLett.106.080802
10.1103/PhysRevLett.113.150501,10.1103/PhysRevLett.110.140502
10.1103/PhysRevLett.111.246802,10.1103/PhysRevLett.103.046601
10.1103/PhysRevX.2.031001,10.1103/PhysRevLett.103.256404
10.1103/PhysRevLett.99.266802,10.1103/PhysRevLett.99.047402
10.1103/PhysRevLett.115.110502,10.1103/PhysRevLett.105.230503
10.1103/RevModPhys.85.79,10.1103/PhysRevLett.106.027402
10.1103/PhysRevLett.107.087401,10.1103/PhysRevLett.104.167401
10.1103/PhysRevLett.102.120502,10.1103/PhysRevLett.98.077602
10.1103/PhysRevLett.115.110502,10.1103/PhysRevLett.104.090501
10.1103/PhysRevLett.110.113601,10.1103/PhysRevLett.106.103601
10.1103/PhysRevLett.102.176806,10.1103/PhysRevLett.99.036602
10.1103/PhysRevLett.108.140403,10.1103/PhysRevLett.105.266808
10.1103/PhysRevLett.107.166604,10.1103/PhysRevLett.103.063601
10.1103/PhysRevLett.110.176601,10.1103/PhysRevLett.101.206601
10.1103/PhysRevLett.108.140503,10.1103/PhysRevLett.104.096801
10.1103/PhysRevLett.102.120502,10.1103/PhysRevLett.98.190401
10.1103/PhysRevLett.112.050503,10.1103/PhysRevLett.104.090501
10.1103/PhysRevLett.110.130802,10.1103/PhysRevX.2.031001
10.1103/PhysRevLett.115.186803,10.1103/PhysRevLett.107.216802
10.1103/PhysRevLett.109.166806,10.1103/PhysRevLett.101.267404
10.1103/PhysRevLett.104.040401,10.1103/PhysRevLett.98.100504
10.1103/PhysRevLett.113.137601,10.1103/PhysRevLett.109.137602
10.1103/PhysRevLett.110.157601,10.1103/PhysRevLett.106.040505
10.1103/PhysRevLett.111.246802,10.1103/PhysRevLett.110.177602
10.1103/RevModPhys.85.79,10.1103/PhysRevLett.108.017402
10.1103/RevModPhys.85.961,10.1103/PhysRevLett.103.160503
10.1103/PhysRevLett.105.160401,10.1103/PhysRevLett.99.056804
10.1103/PhysRevLett.110.017602,10.1103/PhysRevLett.107.166802
10.1103/PhysRevLett.115.216804,10.1103/PhysRevLett.106.140501
10.1103/PhysRevLett.105.053201,10.1103/PhysRevLett.101.010403
10.1103/PhysRevLett.114.123001,10.1103/PhysRevX.2.011014
10.1103/PhysRevLett.113.093603,10.1103/PhysRevLett.110.250501
10.1103/PhysRevLett.107.170503,10.1103/PhysRevLett.105.200402
10.1103/PhysRevLett.114.226803,10.1103/PhysRevLett.111.050503
10.1103/PhysRevLett.104.017402,10.1103/PhysRevLett.100.017401
10.1103/RevModPhys.85.79,10.1103/PhysRevLett.104.143601
10.1103/PhysRevLett.113.263601,10.1103/PhysRevLett.108.143601
10.1103/PhysRevLett.103.113602,10.1103/PhysRevLett.100.060502
10.1103/PhysRevLett.99.056804,10.1103/PhysRevLett.98.026806
10.1103/PhysRevLett.112.066403,10.1103/PhysRevLett.101.047601
10.1103/PhysRevLett.102.160501,10.1103/PhysRevLett.100.220401
10.1103/PhysRevLett.113.150501,10.1103/PhysRevLett.105.077601
