article_doi,group
10.1103/PhysRevLett.101.025003,629.0
10.1103/PhysRevLett.101.105003,629.0
10.1103/PhysRevLett.101.125001,629.0
10.1103/PhysRevLett.101.215001,629.0
10.1103/PhysRevLett.101.225001,629.0
10.1103/PhysRevLett.103.235004,629.0
10.1103/PhysRevLett.105.095005,629.0
10.1103/PhysRevLett.105.255002,629.0
10.1103/PhysRevLett.106.165001,629.0
10.1103/PhysRevLett.107.185001,629.0
10.1103/PhysRevLett.107.255002,629.0
10.1103/PhysRevLett.108.185001,629.0
10.1103/PhysRevLett.108.225005,629.0
10.1103/PhysRevLett.109.055001,629.0
10.1103/PhysRevLett.110.215007,629.0
10.1103/PhysRevLett.110.265004,629.0
10.1103/PhysRevLett.111.135001,629.0
10.1103/PhysRevLett.112.215004,629.0
10.1103/PhysRevLett.113.045001,629.0
10.1103/PhysRevLett.113.095002,629.0
10.1103/PhysRevLett.113.155005,629.0
10.1103/PhysRevLett.114.095002,629.0
10.1103/PhysRevLett.114.115003,629.0
10.1103/PhysRevLett.115.215004,629.0
10.1103/PhysRevLett.99.235001,629.0
