article_doi,group
10.1103/PhysRevLett.100.031804,1000.0
10.1103/PhysRevLett.100.041801,1000.0
10.1103/PhysRevLett.100.062004,1000.0
10.1103/PhysRevLett.100.062005,1000.0
10.1103/PhysRevLett.100.071801,1000.0
10.1103/PhysRevLett.100.091803,1000.0
10.1103/PhysRevLett.100.102001,1000.0
10.1103/PhysRevLett.100.102002,1000.0
10.1103/PhysRevLett.100.131801,1000.0
10.1103/PhysRevLett.100.142002,1000.0
10.1103/PhysRevLett.100.161803,1000.0
10.1103/PhysRevLett.100.171601,1000.0
10.1103/PhysRevLett.100.192003,1000.0
10.1103/PhysRevLett.100.201801,1000.0
10.1103/PhysRevLett.100.211801,1000.0
10.1103/PhysRevLett.100.211803,1000.0
10.1103/PhysRevLett.100.231801,1000.0
10.1103/PhysRevLett.100.241805,1000.0
10.1103/PhysRevLett.100.242001,1000.0
10.1103/PhysRevLett.101.062001,1000.0
10.1103/PhysRevLett.101.091802,1000.0
10.1103/PhysRevLett.101.142001,1000.0
10.1103/PhysRevLett.101.171803,1000.0
10.1103/PhysRevLett.101.182001,1000.0
10.1103/PhysRevLett.101.192002,1000.0
10.1103/PhysRevLett.101.202001,1000.0
10.1103/PhysRevLett.101.221801,1000.0
10.1103/PhysRevLett.101.251802,1000.0
10.1103/PhysRevLett.101.251803,1000.0
10.1103/PhysRevLett.101.252001,1000.0
10.1103/PhysRevLett.102.021802,1000.0
10.1103/PhysRevLett.102.042001,1000.0
10.1103/PhysRevLett.102.051803,1000.0
10.1103/PhysRevLett.102.072001,1000.0
10.1103/PhysRevLett.102.092002,1000.0
10.1103/PhysRevLett.102.151801,1000.0
10.1103/PhysRevLett.102.152001,1000.0
10.1103/PhysRevLett.102.161801,1000.0
10.1103/PhysRevLett.102.182003,1000.0
10.1103/PhysRevLett.102.191802,1000.0
10.1103/PhysRevLett.102.201802,1000.0
10.1103/PhysRevLett.102.222001,1000.0
10.1103/PhysRevLett.102.222003,1000.0
10.1103/PhysRevLett.102.251801,1000.0
10.1103/PhysRevLett.103.012002,1000.0
10.1103/PhysRevLett.103.041801,1000.0
10.1103/PhysRevLett.103.091803,1000.0
10.1103/PhysRevLett.103.092001,1000.0
10.1103/PhysRevLett.103.092002,1000.0
10.1103/PhysRevLett.103.101802,1000.0
10.1103/PhysRevLett.103.101803,1000.0
10.1103/PhysRevLett.103.132001,1000.0
10.1103/PhysRevLett.103.141801,1000.0
10.1103/PhysRevLett.103.191801,1000.0
