citing_doi,cited_doi
10.1103/PhysRevLett.114.126801,10.1103/PhysRevLett.105.166801
10.1103/RevModPhys.84.1,10.1103/PhysRevLett.103.087004
10.1103/PhysRevLett.115.243001,10.1103/PhysRevLett.105.056801
10.1103/PhysRevLett.112.236803,10.1103/PhysRevLett.99.236803
10.1103/PhysRevLett.109.253603,10.1103/PhysRevLett.104.193601
10.1103/PhysRevLett.110.067004,10.1103/PhysRevLett.105.140502
10.1103/PhysRevLett.104.027002,10.1103/PhysRevLett.100.227006
10.1103/PhysRevLett.111.127003,10.1103/PhysRevLett.105.140501
10.1103/PhysRevLett.113.203601,10.1103/PhysRevLett.113.156401
10.1103/PhysRevLett.114.170503,10.1103/PhysRevLett.113.063603
10.1103/PhysRevLett.106.060501,10.1103/PhysRevLett.104.177004
10.1103/PhysRevLett.110.243604,10.1103/PhysRevLett.110.107001
10.1103/PhysRevLett.112.200501,10.1103/PhysRevLett.110.030601
10.1103/PhysRevLett.109.240504,10.1103/PhysRevLett.103.110501
10.1103/PhysRevLett.113.217002,10.1103/PhysRevLett.105.177001
10.1103/PhysRevLett.112.200501,10.1103/PhysRevLett.109.060501
10.1103/PhysRevLett.109.070504,10.1103/PhysRevLett.107.160501
10.1103/PhysRevLett.110.060503,10.1103/PhysRevLett.98.047004
10.1103/PhysRevLett.101.180404,10.1103/PhysRevLett.98.033601
10.1103/PhysRevLett.99.236803,10.1103/PhysRevLett.99.206804
10.1103/PhysRevLett.109.217401,10.1103/PhysRevLett.103.113901
10.1103/PhysRevLett.111.137002,10.1103/PhysRevLett.110.053602
10.1103/PhysRevLett.111.073602,10.1103/PhysRevLett.105.100401
10.1103/PhysRevLett.108.247001,10.1103/PhysRevLett.98.047004
10.1103/PhysRevLett.113.083603,10.1103/PhysRevLett.110.157001
10.1103/PhysRevLett.112.080401,10.1103/PhysRevLett.101.240402
10.1103/PhysRevLett.113.156401,10.1103/PhysRevLett.110.157001
10.1103/RevModPhys.84.1,10.1103/PhysRevLett.105.133601
10.1103/RevModPhys.85.623,10.1103/PhysRevLett.107.256804
10.1103/PhysRevLett.108.263905,10.1103/PhysRevLett.102.233901
10.1103/PhysRevLett.100.227006,10.1103/PhysRevLett.99.187006
10.1103/PhysRevLett.110.150502,10.1103/PhysRevLett.108.230509
10.1103/PhysRevLett.107.176601,10.1103/PhysRevLett.99.236803
10.1103/PhysRevLett.110.243601,10.1103/PhysRevLett.98.103602
10.1103/PhysRevLett.114.080403,10.1103/PhysRevLett.110.180401
10.1103/PhysRevLett.109.267403,10.1103/PhysRevLett.98.103602
10.1103/PhysRevLett.115.193904,10.1103/PhysRevLett.108.253901
10.1103/PhysRevLett.109.243904,10.1103/PhysRevLett.107.043901
10.1103/PhysRevLett.110.250404,10.1103/PhysRevLett.100.026601
10.1103/PhysRevX.4.011050,10.1103/PhysRevLett.106.180504
10.1103/PhysRevLett.111.163601,10.1103/PhysRevLett.106.060401
10.1103/PhysRevLett.109.010502,10.1103/PhysRevLett.100.247001
10.1103/PhysRevLett.109.050507,10.1103/PhysRevLett.106.110502
10.1103/PhysRevLett.110.210501,10.1103/PhysRevLett.105.100504
