citing_doi,cited_doi
10.1103/PhysRevLett.112.098101,10.1103/PhysRevLett.108.015501
10.1103/PhysRevLett.111.108105,10.1103/PhysRevLett.108.038302
10.1103/PhysRevLett.108.038302,10.1103/PhysRevLett.105.120601
10.1103/PhysRevLett.109.138301,10.1103/PhysRevLett.105.120601
10.1103/PhysRevLett.105.108301,10.1103/PhysRevLett.102.197801
10.1103/PhysRevLett.110.088301,10.1103/PhysRevLett.102.037801
10.1103/PhysRevLett.111.028303,10.1103/PhysRevLett.100.137802
10.1103/PhysRevLett.112.098101,10.1103/PhysRevLett.105.120601
10.1103/PhysRevLett.102.168103,10.1103/PhysRevLett.98.088302
10.1103/PhysRevLett.102.168103,10.1103/PhysRevLett.100.158103
10.1103/PhysRevLett.110.088301,10.1103/PhysRevLett.100.158103
10.1103/PhysRevLett.108.105501,10.1103/PhysRevLett.98.036102
10.1103/PhysRevLett.111.028303,10.1103/PhysRevLett.99.048302
10.1103/PhysRevLett.105.120601,10.1103/PhysRevLett.102.218302
10.1103/PhysRevLett.102.168103,10.1103/PhysRevLett.98.018103
10.1103/PhysRevLett.110.088301,10.1103/PhysRevLett.101.078104
10.1103/PhysRevLett.112.098101,10.1103/PhysRevLett.104.228101
10.1103/PhysRevLett.110.088301,10.1103/PhysRevLett.104.047802
10.1103/PhysRevLett.109.138301,10.1103/PhysRevLett.98.036102
10.1103/PhysRevLett.109.138301,10.1103/PhysRevLett.102.188301
10.1103/PhysRevLett.102.197801,10.1103/PhysRevLett.99.048302
10.1103/PhysRevLett.112.098101,10.1103/PhysRevLett.106.188303
10.1103/PhysRevLett.106.188303,10.1103/PhysRevLett.100.198304
10.1103/PhysRevLett.100.158103,10.1103/PhysRevLett.99.088101
10.1103/PhysRevLett.105.028102,10.1103/PhysRevLett.98.018103
10.1103/PhysRevLett.110.088301,10.1103/PhysRevLett.100.137802
10.1103/PhysRevLett.102.188301,10.1103/PhysRevLett.100.137802
10.1103/PhysRevLett.110.088301,10.1103/PhysRevLett.102.078303
