article_doi,group
10.1103/PhysRevLett.100.075002,619.0
10.1103/PhysRevLett.100.185005,619.0
10.1103/PhysRevLett.100.185006,619.0
10.1103/PhysRevLett.101.025002,619.0
10.1103/PhysRevLett.101.035001,619.0
10.1103/PhysRevLett.101.055002,619.0
10.1103/PhysRevLett.102.025004,619.0
10.1103/PhysRevLett.102.155001,619.0
10.1103/PhysRevLett.102.195005,619.0
10.1103/PhysRevLett.102.204301,619.0
10.1103/PhysRevLett.102.235002,619.0
10.1103/PhysRevLett.103.045004,619.0
10.1103/PhysRevLett.103.055001,619.0
10.1103/PhysRevLett.103.085002,619.0
10.1103/PhysRevLett.103.105001,619.0
10.1103/PhysRevLett.103.175002,619.0
10.1103/PhysRevLett.104.035004,619.0
10.1103/PhysRevLett.104.135002,619.0
10.1103/PhysRevLett.104.165001,619.0
10.1103/PhysRevLett.104.165002,619.0
10.1103/PhysRevLett.106.085003,619.0
10.1103/PhysRevLett.106.085004,619.0
10.1103/PhysRevLett.106.195005,619.0
10.1103/PhysRevLett.108.125003,619.0
10.1103/PhysRevLett.108.135006,619.0
10.1103/PhysRevLett.108.165003,619.0
10.1103/PhysRevLett.108.175002,619.0
10.1103/PhysRevLett.108.195002,619.0
10.1103/PhysRevLett.108.195003,619.0
10.1103/PhysRevLett.108.215004,619.0
10.1103/PhysRevLett.108.215005,619.0
10.1103/PhysRevLett.109.085001,619.0
10.1103/PhysRevLett.109.155007,619.0
10.1103/PhysRevLett.109.195004,619.0
10.1103/PhysRevLett.109.255004,619.0
10.1103/PhysRevLett.110.075001,619.0
10.1103/PhysRevLett.110.145001,619.0
10.1103/PhysRevLett.110.165001,619.0
10.1103/PhysRevLett.110.185002,619.0
10.1103/PhysRevLett.111.025001,619.0
10.1103/PhysRevLett.111.045001,619.0
10.1103/PhysRevLett.111.065003,619.0
10.1103/PhysRevLett.111.085004,619.0
10.1103/PhysRevLett.111.215001,619.0
10.1103/PhysRevLett.111.235001,619.0
10.1103/PhysRevLett.111.235006,619.0
10.1103/PhysRevLett.111.245005,619.0
10.1103/PhysRevLett.112.055001,619.0
10.1103/PhysRevLett.112.055002,619.0
10.1103/PhysRevLett.112.145001,619.0
10.1103/PhysRevLett.112.185003,619.0
10.1103/PhysRevLett.112.195001,619.0
10.1103/PhysRevLett.112.225002,619.0
10.1103/PhysRevLett.113.105001,619.0
10.1103/PhysRevLett.114.045001,619.0
10.1103/PhysRevLett.114.085001,619.0
10.1103/PhysRevLett.114.125001,619.0
10.1103/PhysRevLett.114.145004,619.0
10.1103/PhysRevLett.114.155002,619.0
10.1103/PhysRevLett.114.175001,619.0
10.1103/PhysRevLett.114.255003,619.0
10.1103/PhysRevLett.115.055001,619.0
10.1103/PhysRevLett.115.055003,619.0
10.1103/PhysRevLett.115.094501,619.0
10.1103/PhysRevLett.115.105001,619.0
10.1103/PhysRevLett.98.025004,619.0
10.1103/PhysRevLett.98.045002,619.0
10.1103/PhysRevLett.98.095002,619.0
10.1103/PhysRevLett.98.155001,619.0
10.1103/PhysRevLett.98.175003,619.0
10.1103/PhysRevLett.98.245001,619.0
