article_doi,group
10.1103/PhysRevLett.100.195002,410.0
10.1103/PhysRevLett.100.215003,410.0
10.1103/PhysRevLett.101.145003,410.0
10.1103/PhysRevLett.101.215002,410.0
10.1103/PhysRevLett.103.095002,410.0
10.1103/PhysRevLett.103.165004,410.0
10.1103/PhysRevLett.104.065002,410.0
10.1103/PhysRevLett.105.095004,410.0
10.1103/PhysRevLett.105.175004,410.0
10.1103/PhysRevLett.106.065001,410.0
10.1103/PhysRevLett.107.025001,410.0
10.1103/PhysRevLett.107.055003,410.0
10.1103/PhysRevLett.107.125001,410.0
10.1103/PhysRevLett.107.245002,410.0
10.1103/PhysRevLett.107.245004,410.0
10.1103/PhysRevLett.108.035004,410.0
10.1103/PhysRevLett.108.155002,410.0
10.1103/PhysRevLett.108.245001,410.0
10.1103/PhysRevLett.108.245002,410.0
10.1103/PhysRevLett.109.135003,410.0
10.1103/PhysRevLett.109.155006,410.0
10.1103/PhysRevLett.109.245001,410.0
10.1103/PhysRevLett.110.145004,410.0
10.1103/PhysRevLett.110.195002,410.0
10.1103/PhysRevLett.110.265002,410.0
10.1103/PhysRevLett.110.265005,410.0
10.1103/PhysRevLett.111.035002,410.0
10.1103/PhysRevLett.111.055006,410.0
10.1103/PhysRevLett.112.125002,410.0
10.1103/PhysRevLett.113.135003,410.0
10.1103/PhysRevLett.113.155001,410.0
10.1103/PhysRevLett.113.265001,410.0
10.1103/PhysRevLett.98.085002,410.0
10.1103/PhysRevLett.99.035002,410.0
10.1103/PhysRevLett.99.145003,410.0
