citing_doi,cited_doi
10.1103/PhysRevX.4.031015,10.1103/PhysRevLett.98.056801
10.1103/PhysRevLett.111.110602,10.1103/PhysRevLett.102.130602
10.1103/PhysRevLett.111.130601,10.1103/PhysRevLett.110.180601
10.1103/PhysRevLett.112.034101,10.1103/PhysRevLett.108.020603
10.1103/PhysRevLett.107.177008,10.1103/PhysRevLett.104.227003
10.1103/PhysRevLett.113.260601,10.1103/PhysRevX.3.041003
10.1103/PhysRevLett.110.234502,10.1103/PhysRevLett.104.090601
10.1103/PhysRevLett.107.067004,10.1103/PhysRevLett.99.037002
10.1103/PhysRevLett.111.050601,10.1103/PhysRevLett.106.020601
10.1103/PhysRevLett.101.046802,10.1103/PhysRevLett.100.036806
10.1103/PhysRevLett.106.234101,10.1103/PhysRevLett.99.244101
10.1103/PhysRevLett.111.130601,10.1103/PhysRevLett.108.240603
10.1103/PhysRevLett.105.146802,10.1103/PhysRevLett.101.136805
10.1103/PhysRevLett.112.180603,10.1103/PhysRevLett.105.060601
10.1103/PhysRevLett.105.230602,10.1103/PhysRevLett.103.047001
10.1103/PhysRevLett.114.090601,10.1103/PhysRevLett.107.138001
10.1103/PhysRevLett.110.180601,10.1103/PhysRevLett.108.220601
10.1103/PhysRevLett.110.050602,10.1103/PhysRevLett.108.170603
10.1103/PhysRevLett.100.144101,10.1103/PhysRevLett.98.224102
10.1103/PhysRevLett.106.234101,10.1103/PhysRevLett.104.248001
10.1103/PhysRevLett.112.034101,10.1103/PhysRevLett.100.040603
10.1103/PhysRevLett.109.190602,10.1103/PhysRevLett.108.210602
10.1103/PhysRevX.4.031015,10.1103/PhysRevLett.109.180602
10.1103/PhysRevLett.112.140601,10.1103/PhysRevLett.106.230602
10.1103/PhysRevLett.106.137003,10.1103/PhysRevLett.99.247002
10.1103/PhysRevLett.115.040601,10.1103/PhysRevLett.114.146801
10.1103/PhysRevLett.112.180603,10.1103/PhysRevLett.105.150603
10.1103/PhysRevLett.99.230602,10.1103/PhysRevLett.99.038303
10.1103/PhysRevLett.106.256802,10.1103/PhysRevLett.102.086803
10.1103/RevModPhys.81.387,10.1103/PhysRevLett.99.247002
10.1103/PhysRevLett.114.186601,10.1103/PhysRevLett.108.210601
10.1103/PhysRevLett.101.140602,10.1103/PhysRevLett.99.220408
10.1103/PhysRevLett.107.177008,10.1103/RevModPhys.81.387
10.1103/PhysRevLett.110.070604,10.1103/PhysRevLett.102.130602
10.1103/PhysRevLett.110.070604,10.1103/PhysRevLett.106.020601
10.1103/PhysRevLett.111.130601,10.1103/PhysRevLett.98.210601
10.1103/PhysRevLett.109.180601,10.1103/PhysRevX.2.011001
10.1103/PhysRevLett.111.030602,10.1103/PhysRevLett.108.030601
10.1103/PhysRevLett.110.070604,10.1103/PhysRevLett.105.150603
10.1103/PhysRevLett.109.190602,10.1103/PhysRevLett.98.258102
10.1103/PhysRevLett.115.090601,10.1103/PhysRevLett.114.146801
10.1103/PhysRevLett.106.230602,10.1103/PhysRevLett.105.060601
10.1103/PhysRevLett.108.220601,10.1103/PhysRevLett.104.218103
10.1103/PhysRevLett.110.050602,10.1103/PhysRevLett.104.090601
10.1103/PhysRevX.5.031020,10.1103/PhysRevLett.105.230602
10.1103/PhysRevLett.105.150603,10.1103/PhysRevLett.102.130602
10.1103/PhysRevLett.107.010604,10.1103/PhysRevLett.102.210601
10.1103/PhysRevLett.99.150605,10.1103/PhysRevLett.98.040601
10.1103/PhysRevLett.104.076801,10.1103/PhysRevLett.98.056801
10.1103/PhysRevLett.102.124101,10.1103/PhysRevLett.99.207003
10.1103/PhysRevLett.112.090602,10.1103/PhysRevLett.111.120601
10.1103/PhysRevLett.110.180601,10.1103/PhysRevLett.103.040601
10.1103/PhysRevLett.105.146802,10.1103/PhysRevLett.104.080602
10.1103/PhysRevLett.114.050601,10.1103/PhysRevLett.106.230602
10.1103/PhysRevLett.112.150601,10.1103/RevModPhys.81.387
10.1103/PhysRevLett.103.010602,10.1103/PhysRevLett.98.210601
10.1103/PhysRevLett.114.090601,10.1103/PhysRevLett.110.120601
10.1103/PhysRevLett.115.260601,10.1103/PhysRevLett.113.030601
10.1103/PhysRevLett.112.090601,10.1103/PhysRevLett.111.030602
10.1103/PhysRevLett.111.190603,10.1103/PhysRevLett.100.240604
10.1103/PhysRevLett.99.230602,10.1103/PhysRevLett.98.130602
10.1103/PhysRevLett.108.210601,10.1103/PhysRevLett.104.198103
10.1103/PhysRevLett.100.224102,10.1103/PhysRevLett.99.038303
10.1103/PhysRevLett.107.010601,10.1103/PhysRevLett.103.010602
10.1103/PhysRevLett.104.138101,10.1103/PhysRevLett.103.010602
10.1103/PhysRevLett.114.090601,10.1103/PhysRevLett.104.248001
10.1103/PhysRevLett.112.090601,10.1103/PhysRevLett.111.010602
10.1103/PhysRevLett.107.177008,10.1103/PhysRevLett.98.047006
10.1103/PhysRevLett.113.030601,10.1103/PhysRevLett.109.180601
10.1103/PhysRevLett.105.230602,10.1103/PhysRevLett.100.037203
10.1103/PhysRevLett.104.138101,10.1103/PhysRevLett.98.258102
10.1103/PhysRevX.3.041003,10.1103/PhysRevLett.108.030601
10.1103/PhysRevLett.111.050601,10.1103/PhysRevLett.102.130602
10.1103/PhysRevLett.112.048302,10.1103/RevModPhys.81.387
10.1103/PhysRevLett.111.190603,10.1103/PhysRevLett.98.140601
10.1103/PhysRevX.4.031015,10.1103/PhysRevLett.109.180601
10.1103/PhysRevLett.108.240603,10.1103/PhysRevLett.104.090601
10.1103/PhysRevLett.113.048102,10.1103/PhysRevLett.98.048105
10.1103/PhysRevLett.111.010602,10.1103/PhysRevLett.109.180602
10.1103/PhysRevLett.115.120403,10.1103/PhysRevLett.113.190601
10.1103/PhysRevLett.114.054101,10.1103/PhysRevLett.112.174102
10.1103/PhysRevLett.108.210602,10.1103/PhysRevLett.102.130602
10.1103/PhysRevLett.106.230602,10.1103/PhysRevLett.105.150603
10.1103/PhysRevLett.112.034101,10.1103/RevModPhys.81.387
10.1103/PhysRevLett.112.090601,10.1103/PhysRevLett.108.030601
10.1103/PhysRevLett.114.080602,10.1103/PhysRevLett.110.070603
10.1103/RevModPhys.81.387,10.1103/PhysRevLett.99.150605
10.1103/PhysRevLett.103.128103,10.1103/PhysRevLett.98.048105
10.1103/PhysRevLett.111.010602,10.1103/PhysRevLett.108.030601
10.1103/PhysRevLett.102.086810,10.1103/PhysRevLett.101.046802
10.1103/PhysRevX.3.041003,10.1103/PhysRevLett.111.030602
10.1103/PhysRevLett.111.120601,10.1103/PhysRevLett.101.240601
10.1103/PhysRevLett.109.190602,10.1103/PhysRevLett.106.020601
10.1103/PhysRevLett.108.120601,10.1103/PhysRevLett.103.010602
10.1103/PhysRevLett.112.048302,10.1103/PhysRevLett.99.038303
10.1103/PhysRevLett.108.210603,10.1103/PhysRevLett.99.220408
10.1103/PhysRevLett.103.130601,10.1103/RevModPhys.81.387
10.1103/PhysRevLett.111.130601,10.1103/PhysRevLett.104.218103
10.1103/PhysRevLett.105.230602,10.1103/RevModPhys.81.387
10.1103/PhysRevLett.110.214501,10.1103/PhysRevLett.108.210602
10.1103/PhysRevLett.112.150601,10.1103/PhysRevLett.108.060603
10.1103/PhysRevLett.109.030602,10.1103/PhysRevLett.107.068702
10.1103/PhysRevLett.104.076801,10.1103/PhysRevLett.101.046802
10.1103/PhysRevLett.104.076801,10.1103/PhysRevLett.101.136805
10.1103/PhysRevLett.111.120601,10.1103/PhysRevLett.103.040601
10.1103/PhysRevLett.113.260601,10.1103/PhysRevLett.110.180601
10.1103/PhysRevLett.108.020603,10.1103/RevModPhys.81.387
10.1103/PhysRevLett.109.190602,10.1103/PhysRevLett.107.068702
10.1103/PhysRevLett.110.030602,10.1103/PhysRevLett.106.256802
10.1103/PhysRevLett.110.030602,10.1103/PhysRevLett.102.086803
10.1103/PhysRevLett.104.190602,10.1103/RevModPhys.81.387
