article_doi,group
10.1103/PhysRevLett.100.217803,872.0
10.1103/PhysRevLett.100.237801,872.0
10.1103/PhysRevLett.101.237801,872.0
10.1103/PhysRevLett.102.147802,872.0
10.1103/PhysRevLett.102.198301,872.0
10.1103/PhysRevLett.103.037202,872.0
10.1103/PhysRevLett.103.127801,872.0
10.1103/PhysRevLett.103.167801,872.0
10.1103/PhysRevLett.103.187802,872.0
10.1103/PhysRevLett.104.027801,872.0
10.1103/PhysRevLett.104.125501,872.0
10.1103/PhysRevLett.104.248301,872.0
10.1103/PhysRevLett.105.117802,872.0
10.1103/PhysRevLett.105.156001,872.0
10.1103/PhysRevLett.105.178301,872.0
10.1103/PhysRevLett.105.178302,872.0
10.1103/PhysRevLett.105.228301,872.0
10.1103/PhysRevLett.106.047801,872.0
10.1103/PhysRevLett.106.087801,872.0
10.1103/PhysRevLett.106.097801,872.0
10.1103/PhysRevLett.106.107801,872.0
10.1103/PhysRevLett.106.177801,872.0
10.1103/PhysRevLett.107.267802,872.0
10.1103/PhysRevLett.108.017204,872.0
10.1103/PhysRevLett.108.027801,872.0
10.1103/PhysRevLett.108.037801,872.0
10.1103/PhysRevLett.109.017801,872.0
10.1103/PhysRevLett.109.028103,872.0
10.1103/PhysRevLett.110.048303,872.0
10.1103/PhysRevLett.110.177801,872.0
10.1103/PhysRevLett.110.187801,872.0
10.1103/PhysRevLett.110.187802,872.0
10.1103/PhysRevLett.110.237801,872.0
10.1103/PhysRevLett.110.267207,872.0
10.1103/PhysRevLett.111.150404,872.0
10.1103/PhysRevLett.112.137801,872.0
10.1103/PhysRevLett.112.197801,872.0
10.1103/PhysRevLett.112.225501,872.0
10.1103/PhysRevLett.113.027801,872.0
10.1103/PhysRevLett.114.177801,872.0
10.1103/PhysRevLett.115.097802,872.0
10.1103/PhysRevLett.98.057801,872.0
10.1103/PhysRevLett.98.087801,872.0
10.1103/PhysRevLett.98.197801,872.0
10.1103/PhysRevLett.98.247802,872.0
10.1103/PhysRevLett.99.018301,872.0
10.1103/PhysRevLett.99.077802,872.0
10.1103/PhysRevLett.99.127802,872.0
10.1103/PhysRevLett.99.207801,872.0
10.1103/PhysRevLett.99.237802,872.0
10.1103/PhysRevLett.99.247801,872.0
10.1103/RevModPhys.82.897,872.0
10.1103/RevModPhys.84.497,872.0
