article_doi,group
10.1103/PhysRevLett.100.124501,378.0
10.1103/PhysRevLett.100.134504,378.0
10.1103/PhysRevLett.101.214501,378.0
10.1103/PhysRevLett.102.114501,378.0
10.1103/PhysRevLett.103.054502,378.0
10.1103/PhysRevLett.103.144502,378.0
10.1103/PhysRevLett.104.218301,378.0
10.1103/PhysRevLett.104.254102,378.0
10.1103/PhysRevLett.105.044501,378.0
10.1103/PhysRevLett.105.044505,378.0
10.1103/PhysRevLett.105.055001,378.0
10.1103/PhysRevLett.105.154502,378.0
10.1103/PhysRevLett.105.174502,378.0
10.1103/PhysRevLett.106.134502,378.0
10.1103/PhysRevLett.107.114501,378.0
10.1103/PhysRevLett.108.028301,378.0
10.1103/PhysRevLett.108.044501,378.0
10.1103/PhysRevLett.108.214502,378.0
10.1103/PhysRevLett.110.084501,378.0
10.1103/PhysRevLett.110.204502,378.0
10.1103/PhysRevLett.110.224502,378.0
10.1103/PhysRevLett.111.024501,378.0
10.1103/PhysRevLett.111.114501,378.0
10.1103/PhysRevLett.111.184502,378.0
10.1103/PhysRevLett.112.044503,378.0
10.1103/PhysRevLett.112.164501,378.0
10.1103/PhysRevLett.113.234501,378.0
10.1103/PhysRevLett.114.084102,378.0
10.1103/PhysRevLett.115.134502,378.0
10.1103/PhysRevLett.98.014101,378.0
10.1103/PhysRevLett.98.014501,378.0
10.1103/PhysRevLett.98.064503,378.0
10.1103/PhysRevLett.98.204501,378.0
10.1103/PhysRevLett.98.254502,378.0
10.1103/PhysRevLett.99.034502,378.0
10.1103/PhysRevLett.99.074502,378.0
10.1103/RevModPhys.80.225,378.0
