article_doi,group
10.1103/PhysRevLett.100.057207,815.0
10.1103/PhysRevLett.100.068102,815.0
10.1103/PhysRevLett.101.056601,815.0
10.1103/PhysRevLett.101.125702,815.0
10.1103/PhysRevLett.101.135702,815.0
10.1103/PhysRevLett.101.148101,815.0
10.1103/PhysRevLett.102.058301,815.0
10.1103/PhysRevLett.102.065701,815.0
10.1103/PhysRevLett.102.067205,815.0
10.1103/PhysRevLett.102.130601,815.0
10.1103/PhysRevLett.103.045702,815.0
10.1103/PhysRevLett.103.090601,815.0
10.1103/PhysRevLett.103.208301,815.0
10.1103/PhysRevLett.103.258302,815.0
10.1103/PhysRevLett.103.260602,815.0
10.1103/PhysRevLett.104.068301,815.0
10.1103/PhysRevLett.104.085701,815.0
10.1103/PhysRevLett.104.195502,815.0
10.1103/PhysRevLett.104.195701,815.0
10.1103/PhysRevLett.104.245702,815.0
10.1103/PhysRevLett.105.088305,815.0
10.1103/PhysRevLett.105.198301,815.0
10.1103/PhysRevLett.106.105704,815.0
10.1103/PhysRevLett.106.118302,815.0
10.1103/PhysRevLett.106.125702,815.0
10.1103/PhysRevLett.106.150603,815.0
10.1103/PhysRevLett.106.178102,815.0
10.1103/PhysRevLett.107.095701,815.0
10.1103/PhysRevLett.107.130601,815.0
10.1103/PhysRevLett.108.047801,815.0
10.1103/PhysRevLett.108.184502,815.0
10.1103/PhysRevLett.109.095702,815.0
10.1103/PhysRevLett.109.097401,815.0
10.1103/PhysRevLett.109.155503,815.0
10.1103/PhysRevLett.109.160602,815.0
10.1103/PhysRevLett.109.195701,815.0
10.1103/PhysRevLett.109.250601,815.0
10.1103/PhysRevLett.110.035701,815.0
10.1103/PhysRevLett.110.058303,815.0
10.1103/PhysRevLett.110.080601,815.0
10.1103/PhysRevLett.110.208302,815.0
10.1103/PhysRevLett.110.258301,815.0
10.1103/PhysRevLett.111.055503,815.0
10.1103/PhysRevLett.111.208301,815.0
10.1103/PhysRevLett.112.028101,815.0
10.1103/PhysRevLett.112.098703,815.0
10.1103/PhysRevLett.112.245701,815.0
10.1103/PhysRevLett.114.128101,815.0
10.1103/PhysRevLett.114.258302,815.0
10.1103/PhysRevLett.115.228302,815.0
10.1103/PhysRevLett.98.017201,815.0
10.1103/PhysRevLett.98.088301,815.0
10.1103/PhysRevLett.98.097203,815.0
10.1103/PhysRevLett.98.108302,815.0
10.1103/PhysRevLett.98.196401,815.0
10.1103/PhysRevLett.98.220601,815.0
10.1103/PhysRevLett.99.028101,815.0
10.1103/PhysRevLett.99.028303,815.0
10.1103/PhysRevLett.99.065701,815.0
10.1103/PhysRevLett.99.098301,815.0
10.1103/PhysRevLett.99.118301,815.0
10.1103/PhysRevLett.99.198103,815.0
