citing_doi,cited_doi
10.1103/PhysRevLett.114.204501,10.1103/PhysRevLett.112.068304
10.1103/PhysRevLett.111.036001,10.1103/PhysRevLett.100.164502
10.1103/PhysRevLett.114.204501,10.1103/PhysRevLett.110.034501
10.1103/PhysRevX.3.041002,10.1103/PhysRevLett.103.264501
10.1103/PhysRevLett.114.158301,10.1103/PhysRevLett.109.194301
10.1103/PhysRevLett.109.194301,10.1103/PhysRevLett.106.148301
10.1103/PhysRevX.3.041002,10.1103/PhysRevLett.104.154502
10.1103/PhysRevLett.104.154502,10.1103/PhysRevLett.99.174502
10.1103/PhysRevLett.107.215501,10.1103/PhysRevLett.98.235501
10.1103/PhysRevLett.109.194301,10.1103/PhysRevLett.107.215501
10.1103/PhysRevLett.111.036001,10.1103/PhysRevLett.108.108302
10.1103/PhysRevLett.110.078305,10.1103/PhysRevLett.100.164502
10.1103/PhysRevLett.114.158301,10.1103/PhysRevLett.111.036001
10.1103/PhysRevLett.110.185502,10.1103/PhysRevLett.107.215501
10.1103/PhysRevLett.114.204501,10.1103/PhysRevLett.104.128301
10.1103/PhysRevX.3.041002,10.1103/PhysRevLett.100.018302
10.1103/PhysRevLett.110.034501,10.1103/PhysRevLett.100.164502
10.1103/PhysRevLett.108.208001,10.1103/PhysRevLett.108.108302
10.1103/PhysRevLett.103.264501,10.1103/PhysRevLett.98.054503
10.1103/PhysRevLett.115.265502,10.1103/PhysRevLett.98.235501
10.1103/PhysRevX.3.041002,10.1103/PhysRevLett.100.164502
10.1103/PhysRevLett.114.204501,10.1103/PhysRevLett.108.198302
