article_doi,group
10.1103/PhysRevLett.100.064801,1326.0
10.1103/PhysRevLett.100.066408,1326.0
10.1103/PhysRevLett.100.244801,1326.0
10.1103/PhysRevLett.101.076802,1326.0
10.1103/PhysRevLett.102.104801,1326.0
10.1103/PhysRevLett.103.257603,1326.0
10.1103/PhysRevLett.104.024801,1326.0
10.1103/PhysRevLett.104.084801,1326.0
10.1103/PhysRevLett.104.095501,1326.0
10.1103/PhysRevLett.104.234802,1326.0
10.1103/PhysRevLett.105.147601,1326.0
10.1103/PhysRevLett.105.257601,1326.0
10.1103/PhysRevLett.105.264801,1326.0
10.1103/PhysRevLett.107.087601,1326.0
10.1103/PhysRevLett.108.194801,1326.0
10.1103/PhysRevLett.108.237602,1326.0
10.1103/PhysRevLett.108.263904,1326.0
10.1103/PhysRevLett.109.164803,1326.0
10.1103/PhysRevLett.109.244802,1326.0
10.1103/PhysRevLett.109.244803,1326.0
10.1103/PhysRevLett.110.074801,1326.0
10.1103/PhysRevLett.110.076802,1326.0
10.1103/PhysRevLett.110.255501,1326.0
10.1103/PhysRevLett.110.265007,1326.0
10.1103/PhysRevLett.111.085001,1326.0
10.1103/PhysRevLett.111.134803,1326.0
10.1103/PhysRevLett.111.237401,1326.0
10.1103/PhysRevLett.114.195501,1326.0
10.1103/PhysRevLett.114.227601,1326.0
10.1103/PhysRevLett.114.254801,1326.0
10.1103/PhysRevLett.115.264803,1326.0
10.1103/PhysRevLett.98.043907,1326.0
10.1103/PhysRevLett.98.233901,1326.0
10.1103/PhysRevLett.99.210401,1326.0
10.1103/RevModPhys.86.1337,1326.0
