article_doi,group
10.1103/PhysRevLett.100.113902,1649.0
10.1103/PhysRevLett.100.123006,1649.0
10.1103/PhysRevLett.100.155003,1649.0
10.1103/PhysRevLett.100.255006,1649.0
10.1103/PhysRevLett.101.053002,1649.0
10.1103/PhysRevLett.101.193003,1649.0
10.1103/PhysRevLett.101.205001,1649.0
10.1103/PhysRevLett.101.213901,1649.0
10.1103/PhysRevLett.102.015002,1649.0
10.1103/PhysRevLett.102.083001,1649.0
10.1103/PhysRevLett.102.093001,1649.0
10.1103/PhysRevLett.102.115005,1649.0
10.1103/PhysRevLett.102.123902,1649.0
10.1103/PhysRevLett.102.155004,1649.0
10.1103/PhysRevLett.103.023001,1649.0
10.1103/PhysRevLett.103.023902,1649.0
10.1103/PhysRevLett.103.023903,1649.0
10.1103/PhysRevLett.103.035001,1649.0
10.1103/PhysRevLett.103.075005,1649.0
10.1103/PhysRevLett.103.083401,1649.0
10.1103/PhysRevLett.103.153001,1649.0
10.1103/PhysRevLett.103.205001,1649.0
10.1103/PhysRevLett.103.223002,1649.0
10.1103/PhysRevLett.104.103903,1649.0
10.1103/PhysRevLett.104.153001,1649.0
10.1103/PhysRevLett.105.053903,1649.0
10.1103/PhysRevLett.105.055003,1649.0
10.1103/PhysRevLett.105.113603,1649.0
10.1103/PhysRevLett.105.125001,1649.0
10.1103/PhysRevLett.105.203904,1649.0
10.1103/PhysRevLett.105.215005,1649.0
10.1103/PhysRevLett.105.243902,1649.0
10.1103/PhysRevLett.106.153902,1649.0
10.1103/PhysRevLett.106.183902,1649.0
10.1103/PhysRevLett.106.243902,1649.0
10.1103/PhysRevLett.106.255002,1649.0
10.1103/PhysRevLett.107.095004,1649.0
10.1103/PhysRevLett.107.103901,1649.0
10.1103/PhysRevLett.107.173903,1649.0
10.1103/PhysRevLett.107.243004,1649.0
10.1103/PhysRevLett.108.043902,1649.0
10.1103/PhysRevLett.108.123903,1649.0
10.1103/PhysRevLett.108.123904,1649.0
10.1103/PhysRevLett.108.255004,1649.0
10.1103/PhysRevLett.109.033001,1649.0
10.1103/PhysRevLett.109.043003,1649.0
10.1103/PhysRevLett.109.065003,1649.0
10.1103/PhysRevLett.109.113904,1649.0
10.1103/PhysRevLett.109.113905,1649.0
10.1103/PhysRevLett.109.183902,1649.0
10.1103/PhysRevLett.109.233201,1649.0
10.1103/PhysRevLett.109.243002,1649.0
10.1103/PhysRevLett.110.043902,1649.0
10.1103/PhysRevLett.110.073901,1649.0
10.1103/PhysRevLett.110.123902,1649.0
10.1103/PhysRevLett.110.253901,1649.0
10.1103/PhysRevLett.111.023901,1649.0
10.1103/PhysRevLett.111.074802,1649.0
10.1103/PhysRevLett.112.013004,1649.0
10.1103/PhysRevLett.112.055004,1649.0
10.1103/PhysRevLett.112.113001,1649.0
10.1103/PhysRevLett.112.113004,1649.0
10.1103/PhysRevLett.112.143601,1649.0
10.1103/PhysRevLett.112.197401,1649.0
10.1103/PhysRevLett.112.203902,1649.0
10.1103/PhysRevLett.112.213901,1649.0
10.1103/PhysRevLett.112.223902,1649.0
10.1103/PhysRevLett.113.043002,1649.0
10.1103/PhysRevLett.113.043005,1649.0
10.1103/PhysRevLett.113.263904,1649.0
10.1103/PhysRevLett.114.063003,1649.0
10.1103/PhysRevLett.114.063903,1649.0
10.1103/PhysRevLett.114.093901,1649.0
10.1103/PhysRevLett.114.103001,1649.0
10.1103/PhysRevLett.114.183901,1649.0
10.1103/PhysRevLett.114.253901,1649.0
10.1103/PhysRevLett.114.255001,1649.0
10.1103/PhysRevLett.115.033005,1649.0
10.1103/PhysRevLett.115.033902,1649.0
10.1103/PhysRevLett.115.133203,1649.0
10.1103/PhysRevLett.115.203002,1649.0
10.1103/PhysRevLett.115.223001,1649.0
10.1103/PhysRevLett.98.155002,1649.0
10.1103/PhysRevLett.98.235002,1649.0
10.1103/PhysRevLett.98.245002,1649.0
10.1103/PhysRevLett.99.093002,1649.0
10.1103/PhysRevLett.99.133001,1649.0
10.1103/PhysRevLett.99.135002,1649.0
10.1103/PhysRevLett.99.255001,1649.0
10.1103/PhysRevX.1.011002,1649.0
10.1103/PhysRevX.3.041009,1649.0
10.1103/PhysRevX.4.011027,1649.0
10.1103/PhysRevX.5.031041,1649.0
