article_doi,group
10.1103/PhysRevLett.100.086601,893.0
10.1103/PhysRevLett.100.086602,893.0
10.1103/PhysRevLett.100.086801,893.0
10.1103/PhysRevLett.100.196601,893.0
10.1103/PhysRevLett.100.196806,893.0
10.1103/PhysRevLett.100.196807,893.0
10.1103/PhysRevLett.100.236803,893.0
10.1103/PhysRevLett.101.036802,893.0
10.1103/PhysRevLett.101.126802,893.0
10.1103/PhysRevLett.101.126803,893.0
10.1103/PhysRevLett.101.166802,893.0
10.1103/PhysRevLett.101.186803,893.0
10.1103/PhysRevLett.101.196404,893.0
10.1103/PhysRevLett.101.256401,893.0
10.1103/PhysRevLett.102.026805,893.0
10.1103/PhysRevLett.102.036804,893.0
10.1103/PhysRevLett.102.046806,893.0
10.1103/PhysRevLett.102.076401,893.0
10.1103/PhysRevLett.102.106804,893.0
10.1103/PhysRevLett.102.126806,893.0
10.1103/PhysRevLett.102.130605,893.0
10.1103/PhysRevLett.102.156801,893.0
10.1103/PhysRevLett.102.236402,893.0
10.1103/PhysRevLett.102.236802,893.0
10.1103/PhysRevLett.102.244103,893.0
10.1103/PhysRevLett.103.036801,893.0
10.1103/PhysRevLett.103.054101,893.0
10.1103/PhysRevLett.103.076804,893.0
10.1103/PhysRevLett.103.136801,893.0
10.1103/PhysRevLett.103.206806,893.0
10.1103/PhysRevLett.104.103002,893.0
10.1103/PhysRevLett.104.186805,893.0
10.1103/PhysRevLett.104.196805,893.0
10.1103/PhysRevLett.104.226803,893.0
10.1103/PhysRevLett.105.024101,893.0
10.1103/PhysRevLett.105.056803,893.0
10.1103/PhysRevLett.105.060602,893.0
10.1103/PhysRevLett.105.126802,893.0
10.1103/PhysRevLett.105.226407,893.0
10.1103/PhysRevLett.105.226804,893.0
10.1103/PhysRevLett.105.256802,893.0
10.1103/PhysRevLett.106.106402,893.0
10.1103/PhysRevLett.106.126801,893.0
10.1103/PhysRevLett.106.196402,893.0
10.1103/PhysRevLett.107.076803,893.0
10.1103/PhysRevLett.107.086805,893.0
10.1103/PhysRevLett.107.176403,893.0
10.1103/PhysRevLett.107.206801,893.0
10.1103/PhysRevLett.108.186404,893.0
10.1103/PhysRevLett.108.186806,893.0
10.1103/PhysRevLett.108.196803,893.0
10.1103/PhysRevLett.108.256802,893.0
10.1103/PhysRevLett.108.256805,893.0
10.1103/PhysRevLett.109.026803,893.0
10.1103/PhysRevLett.109.036405,893.0
10.1103/PhysRevLett.109.056802,893.0
10.1103/PhysRevLett.109.106403,893.0
10.1103/PhysRevLett.109.106802,893.0
10.1103/PhysRevLett.109.216801,893.0
10.1103/PhysRevLett.109.246806,893.0
10.1103/PhysRevLett.109.250401,893.0
10.1103/PhysRevLett.110.026402,893.0
10.1103/PhysRevLett.110.064102,893.0
10.1103/PhysRevLett.110.126602,893.0
10.1103/PhysRevLett.110.126803,893.0
10.1103/PhysRevLett.110.150603,893.0
10.1103/PhysRevLett.110.166801,893.0
10.1103/PhysRevLett.110.216404,893.0
10.1103/PhysRevLett.110.226801,893.0
10.1103/PhysRevLett.111.036801,893.0
10.1103/PhysRevLett.111.067002,893.0
10.1103/PhysRevLett.111.136807,893.0
10.1103/PhysRevLett.111.216807,893.0
10.1103/PhysRevLett.112.046802,893.0
10.1103/PhysRevLett.112.146801,893.0
10.1103/PhysRevLett.112.166801,893.0
10.1103/PhysRevLett.112.206801,893.0
10.1103/PhysRevLett.112.216402,893.0
10.1103/PhysRevLett.112.226803,893.0
10.1103/PhysRevLett.113.166403,893.0
10.1103/PhysRevLett.113.196401,893.0
10.1103/PhysRevLett.113.266401,893.0
10.1103/PhysRevLett.113.266601,893.0
10.1103/PhysRevLett.98.036805,893.0
10.1103/PhysRevLett.98.046801,893.0
10.1103/PhysRevLett.98.096803,893.0
10.1103/PhysRevLett.98.186810,893.0
10.1103/PhysRevLett.98.246803,893.0
10.1103/PhysRevLett.99.036802,893.0
10.1103/PhysRevLett.99.076601,893.0
10.1103/PhysRevLett.99.136404,893.0
10.1103/PhysRevLett.99.150603,893.0
10.1103/PhysRevLett.99.156801,893.0
10.1103/PhysRevLett.99.156802,893.0
