citing_doi,cited_doi
10.1103/PhysRevLett.110.018304,10.1103/PhysRevLett.106.055502
10.1103/PhysRevLett.104.165701,10.1103/RevModPhys.82.789
10.1103/PhysRevLett.104.165701,10.1103/PhysRevLett.98.058001
10.1103/PhysRevLett.106.125503,10.1103/PhysRevLett.105.025501
10.1103/PhysRevLett.105.025501,10.1103/PhysRevLett.102.038001
10.1103/RevModPhys.82.2633,10.1103/PhysRevLett.100.245504
10.1103/PhysRevX.3.021017,10.1103/PhysRevLett.107.188303
10.1103/PhysRevLett.107.105505,10.1103/PhysRevLett.105.015504
10.1103/PhysRevLett.104.208301,10.1103/PhysRevLett.100.128304
10.1103/PhysRevLett.109.168303,10.1103/PhysRevLett.99.178001
10.1103/PhysRevLett.108.178301,10.1103/PhysRevLett.103.065501
10.1103/PhysRevLett.113.158301,10.1103/PhysRevLett.109.095704
10.1103/PhysRevLett.105.268303,10.1103/PhysRevLett.100.018301
10.1103/PhysRevLett.115.218301,10.1103/PhysRevLett.102.085703
10.1103/PhysRevLett.114.035502,10.1103/PhysRevLett.107.158303
10.1103/PhysRevLett.109.105703,10.1103/PhysRevLett.102.175501
10.1103/PhysRevLett.109.246001,10.1103/PhysRevLett.108.098303
10.1103/PhysRevLett.115.158001,10.1103/PhysRevLett.108.178301
10.1103/PhysRevLett.109.165702,10.1103/PhysRevLett.101.165702
10.1103/PhysRevLett.109.105901,10.1103/PhysRevLett.103.065501
10.1103/PhysRevLett.101.188001,10.1103/PhysRevLett.98.248001
10.1103/PhysRevLett.113.254502,10.1103/PhysRevLett.103.086001
10.1103/PhysRevLett.105.100601,10.1103/PhysRevLett.105.015501
10.1103/PhysRevLett.103.235701,10.1103/PhysRevLett.100.078001
10.1103/RevModPhys.87.183,10.1103/RevModPhys.82.789
10.1103/RevModPhys.86.995,10.1103/PhysRevLett.104.085504
10.1103/PhysRevLett.110.215701,10.1103/PhysRevLett.108.098301
10.1103/PhysRevLett.105.225502,10.1103/PhysRevLett.103.178301
10.1103/RevModPhys.82.789,10.1103/PhysRevLett.98.058001
10.1103/PhysRevLett.101.245701,10.1103/PhysRevLett.99.178001
10.1103/PhysRevLett.109.108001,10.1103/PhysRevLett.103.065501
10.1103/PhysRevLett.110.018103,10.1103/PhysRevLett.101.108101
10.1103/PhysRevX.3.021017,10.1103/PhysRevLett.107.108302
10.1103/PhysRevLett.102.168102,10.1103/PhysRevLett.100.018104
10.1103/RevModPhys.82.789,10.1103/PhysRevLett.99.178001
10.1103/PhysRevLett.107.188303,10.1103/PhysRevLett.107.108301
10.1103/PhysRevLett.109.238101,10.1103/PhysRevLett.100.018104
10.1103/RevModPhys.86.995,10.1103/PhysRevLett.110.018103
10.1103/PhysRevLett.105.268102,10.1103/PhysRevLett.99.048101
10.1103/PhysRevLett.114.098301,10.1103/PhysRevLett.101.128001
10.1103/PhysRevLett.107.188301,10.1103/PhysRevLett.102.108301
10.1103/RevModPhys.86.995,10.1103/PhysRevLett.105.118101
10.1103/PhysRevLett.105.268301,10.1103/PhysRevLett.99.028301
10.1103/PhysRevLett.100.028001,10.1103/PhysRevLett.98.058001
10.1103/PhysRevLett.109.118305,10.1103/PhysRevLett.106.108301
10.1103/RevModPhys.83.587,10.1103/PhysRevLett.105.015504
10.1103/PhysRevLett.105.188301,10.1103/PhysRevLett.102.218303
10.1103/PhysRevLett.101.248001,10.1103/PhysRevLett.100.078001
10.1103/PhysRevLett.102.058302,10.1103/PhysRevLett.100.018301
10.1103/RevModPhys.82.789,10.1103/PhysRevLett.103.025701
10.1103/PhysRevLett.106.125503,10.1103/PhysRevLett.102.138001
10.1103/PhysRevLett.112.148001,10.1103/PhysRevLett.107.188301
10.1103/PhysRevLett.109.118305,10.1103/PhysRevLett.109.018301
10.1103/PhysRevLett.109.255502,10.1103/PhysRevLett.104.025501
10.1103/PhysRevLett.112.115701,10.1103/PhysRevLett.109.205501
10.1103/PhysRevLett.109.018301,10.1103/RevModPhys.83.587
10.1103/PhysRevLett.109.108001,10.1103/PhysRevLett.106.156001
10.1103/PhysRevX.5.011020,10.1103/PhysRevLett.107.188301
10.1103/PhysRevLett.101.248001,10.1103/PhysRevLett.98.058001
10.1103/PhysRevLett.115.158301,10.1103/PhysRevLett.109.105901
10.1103/PhysRevLett.108.098301,10.1103/PhysRevLett.106.156001
10.1103/PhysRevLett.111.218301,10.1103/PhysRevLett.103.086001
10.1103/PhysRevLett.111.148301,10.1103/PhysRevLett.104.078302
10.1103/PhysRevLett.109.095703,10.1103/PhysRevLett.109.095704
10.1103/PhysRevLett.101.018301,10.1103/PhysRevLett.98.058001
10.1103/PhysRevLett.109.238101,10.1103/PhysRevLett.104.085504
10.1103/PhysRevLett.111.148301,10.1103/PhysRevLett.101.058301
10.1103/PhysRevLett.103.013903,10.1103/PhysRevLett.100.208302
10.1103/PhysRevLett.115.238301,10.1103/PhysRevLett.111.058002
10.1103/PhysRevX.3.021017,10.1103/PhysRevLett.104.248305
10.1103/PhysRevLett.114.158001,10.1103/PhysRevLett.112.148301
10.1103/PhysRevLett.106.148302,10.1103/PhysRevLett.99.178001
10.1103/PhysRevLett.107.158303,10.1103/PhysRevLett.103.235701
10.1103/PhysRevLett.109.255502,10.1103/PhysRevLett.98.185505
10.1103/PhysRevLett.108.135502,10.1103/PhysRevLett.104.208301
10.1103/PhysRevLett.107.108301,10.1103/PhysRevLett.105.025501
10.1103/RevModPhys.86.995,10.1103/PhysRevLett.100.018104
10.1103/PhysRevLett.109.105703,10.1103/PhysRevLett.100.155502
10.1103/PhysRevLett.111.015701,10.1103/PhysRevLett.109.018301
10.1103/PhysRevLett.112.148001,10.1103/PhysRevLett.105.088303
10.1103/RevModPhys.86.995,10.1103/PhysRevLett.98.088103
10.1103/PhysRevLett.113.148001,10.1103/PhysRevLett.109.125502
10.1103/PhysRevLett.108.098303,10.1103/PhysRevLett.105.268301
10.1103/PhysRevLett.108.138001,10.1103/PhysRevLett.99.155501
10.1103/PhysRevLett.113.078301,10.1103/PhysRevLett.99.028301
10.1103/PhysRevLett.112.138101,10.1103/RevModPhys.82.789
10.1103/PhysRevLett.113.078301,10.1103/PhysRevLett.106.156001
10.1103/PhysRevLett.111.058002,10.1103/PhysRevLett.109.036001
10.1103/PhysRevLett.108.148301,10.1103/PhysRevLett.105.088303
10.1103/PhysRevLett.113.128302,10.1103/PhysRevLett.110.198002
10.1103/RevModPhys.86.995,10.1103/PhysRevLett.100.028102
10.1103/PhysRevLett.115.098001,10.1103/PhysRevLett.103.235701
