article_doi,group
10.1103/PhysRevLett.100.040405,856.0
10.1103/PhysRevLett.100.183602,856.0
10.1103/PhysRevLett.100.238301,856.0
10.1103/PhysRevLett.100.250404,856.0
10.1103/PhysRevLett.100.253201,856.0
10.1103/PhysRevLett.101.030401,856.0
10.1103/PhysRevLett.101.071101,856.0
10.1103/PhysRevLett.101.096803,856.0
10.1103/PhysRevLett.101.160402,856.0
10.1103/PhysRevLett.101.160403,856.0
10.1103/PhysRevLett.101.163202,856.0
10.1103/PhysRevLett.101.163203,856.0
10.1103/PhysRevLett.101.163603,856.0
10.1103/PhysRevLett.101.190404,856.0
10.1103/PhysRevLett.102.060402,856.0
10.1103/PhysRevLett.102.140404,856.0
10.1103/PhysRevLett.102.230404,856.0
10.1103/PhysRevLett.103.040401,856.0
10.1103/PhysRevLett.103.040402,856.0
10.1103/PhysRevLett.103.060401,856.0
10.1103/PhysRevLett.103.081302,856.0
10.1103/PhysRevLett.103.103602,856.0
10.1103/PhysRevLett.103.120401,856.0
10.1103/PhysRevLett.103.130405,856.0
10.1103/PhysRevLett.104.040403,856.0
10.1103/PhysRevLett.104.060601,856.0
10.1103/PhysRevLett.104.070404,856.0
10.1103/PhysRevLett.104.070405,856.0
10.1103/PhysRevLett.104.083201,856.0
10.1103/PhysRevLett.104.160402,856.0
10.1103/PhysRevLett.104.223003,856.0
10.1103/PhysRevLett.104.241101,856.0
10.1103/PhysRevLett.105.040403,856.0
10.1103/PhysRevLett.105.060401,856.0
10.1103/PhysRevLett.105.070404,856.0
10.1103/PhysRevLett.105.090403,856.0
10.1103/PhysRevLett.105.210401,856.0
10.1103/PhysRevLett.105.233202,856.0
10.1103/PhysRevLett.105.250402,856.0
10.1103/PhysRevLett.106.020403,856.0
10.1103/PhysRevLett.106.221101,856.0
10.1103/PhysRevLett.107.051103,856.0
10.1103/PhysRevLett.107.090403,856.0
10.1103/PhysRevLett.107.150401,856.0
10.1103/PhysRevLett.108.181101,856.0
10.1103/PhysRevLett.109.027202,856.0
10.1103/PhysRevLett.109.160403,856.0
10.1103/PhysRevLett.109.231101,856.0
10.1103/PhysRevLett.109.251105,856.0
10.1103/PhysRevLett.110.060401,856.0
10.1103/PhysRevLett.110.137401,856.0
10.1103/PhysRevLett.110.250403,856.0
10.1103/PhysRevLett.111.033602,856.0
10.1103/PhysRevLett.111.180402,856.0
10.1103/PhysRevLett.112.033902,856.0
10.1103/PhysRevLett.112.056804,856.0
10.1103/PhysRevLett.112.155301,856.0
10.1103/PhysRevLett.112.223601,856.0
10.1103/PhysRevLett.112.240401,856.0
10.1103/PhysRevLett.113.020403,856.0
10.1103/PhysRevLett.113.023601,856.0
10.1103/PhysRevLett.113.240405,856.0
10.1103/PhysRevLett.114.024501,856.0
10.1103/PhysRevLett.98.050403,856.0
10.1103/PhysRevLett.98.071102,856.0
10.1103/PhysRevLett.98.140801,856.0
10.1103/PhysRevLett.98.160801,856.0
10.1103/PhysRevLett.98.198301,856.0
10.1103/PhysRevLett.98.240404,856.0
10.1103/PhysRevLett.99.080401,856.0
10.1103/PhysRevLett.99.170403,856.0
10.1103/PhysRevLett.99.241101,856.0
10.1103/PhysRevX.4.011029,856.0
10.1103/RevModPhys.81.1827,856.0
10.1103/RevModPhys.82.1887,856.0
