article_doi,group
10.1103/PhysRevLett.100.056404,1069.0
10.1103/PhysRevLett.100.070403,1069.0
10.1103/PhysRevLett.100.086401,1069.0
10.1103/PhysRevLett.100.133004,1069.0
10.1103/PhysRevLett.100.153004,1069.0
10.1103/PhysRevLett.100.166804,1069.0
10.1103/PhysRevLett.100.256805,1069.0
10.1103/PhysRevLett.101.046402,1069.0
10.1103/PhysRevLett.101.096404,1069.0
10.1103/PhysRevLett.101.133002,1069.0
10.1103/PhysRevLett.101.166401,1069.0
10.1103/PhysRevLett.102.053002,1069.0
10.1103/PhysRevLett.102.066403,1069.0
10.1103/PhysRevLett.102.196802,1069.0
10.1103/PhysRevLett.102.233001,1069.0
10.1103/PhysRevLett.103.166402,1069.0
10.1103/PhysRevLett.103.176404,1069.0
10.1103/PhysRevLett.104.043001,1069.0
10.1103/PhysRevLett.104.106403,1069.0
10.1103/PhysRevLett.104.233004,1069.0
10.1103/PhysRevLett.104.236801,1069.0
10.1103/PhysRevLett.105.216408,1069.0
10.1103/PhysRevLett.105.266802,1069.0
10.1103/PhysRevLett.106.057205,1069.0
10.1103/PhysRevLett.106.116401,1069.0
10.1103/PhysRevLett.107.183002,1069.0
10.1103/PhysRevLett.107.193002,1069.0
10.1103/PhysRevLett.107.216401,1069.0
10.1103/PhysRevLett.107.216806,1069.0
10.1103/PhysRevLett.108.063003,1069.0
10.1103/PhysRevLett.108.066801,1069.0
10.1103/PhysRevLett.108.106103,1069.0
10.1103/PhysRevLett.108.146401,1069.0
10.1103/PhysRevLett.108.253005,1069.0
10.1103/PhysRevLett.109.036402,1069.0
10.1103/PhysRevLett.109.226405,1069.0
10.1103/PhysRevLett.109.246402,1069.0
10.1103/PhysRevLett.109.266403,1069.0
10.1103/PhysRevLett.109.266404,1069.0
10.1103/PhysRevLett.110.033002,1069.0
10.1103/PhysRevLett.110.085303,1069.0
10.1103/PhysRevLett.110.116403,1069.0
10.1103/PhysRevLett.110.126403,1069.0
10.1103/PhysRevLett.110.136405,1069.0
10.1103/PhysRevLett.110.233001,1069.0
10.1103/PhysRevLett.111.023001,1069.0
10.1103/PhysRevLett.111.030601,1069.0
10.1103/PhysRevLett.111.036402,1069.0
10.1103/PhysRevLett.111.086601,1069.0
10.1103/PhysRevLett.111.093003,1069.0
10.1103/PhysRevLett.111.126402,1069.0
10.1103/PhysRevLett.111.150401,1069.0
10.1103/PhysRevLett.112.083001,1069.0
10.1103/PhysRevLett.112.100601,1069.0
10.1103/PhysRevLett.113.113002,1069.0
10.1103/PhysRevLett.114.053001,1069.0
10.1103/PhysRevLett.114.166405,1069.0
10.1103/PhysRevLett.114.183002,1069.0
10.1103/PhysRevLett.115.033006,1069.0
10.1103/PhysRevLett.115.093001,1069.0
10.1103/PhysRevLett.98.076804,1069.0
10.1103/PhysRevLett.98.226403,1069.0
10.1103/PhysRevLett.99.010402,1069.0
10.1103/PhysRevLett.99.056801,1069.0
10.1103/PhysRevLett.99.057401,1069.0
10.1103/PhysRevLett.99.106601,1069.0
