citing_doi,cited_doi
10.1103/PhysRevLett.100.107601,10.1103/PhysRevLett.99.217202
10.1103/PhysRevLett.108.037206,10.1103/PhysRevLett.103.077602
10.1103/PhysRevLett.108.037206,10.1103/PhysRevLett.100.107601
10.1103/PhysRevLett.108.037206,10.1103/PhysRevLett.105.237203
10.1103/PhysRevLett.108.187601,10.1103/PhysRevLett.103.077602
10.1103/PhysRevLett.106.016406,10.1103/PhysRevLett.99.256402
10.1103/PhysRevLett.101.227602,10.1103/PhysRevLett.100.107601
10.1103/PhysRevLett.110.207204,10.1103/PhysRevLett.102.176405
10.1103/PhysRevLett.102.176405,10.1103/PhysRevLett.100.026406
10.1103/PhysRevLett.105.237203,10.1103/PhysRevLett.98.246403
10.1103/PhysRevLett.103.207202,10.1103/PhysRevLett.101.227602
10.1103/PhysRevLett.108.187601,10.1103/PhysRevLett.98.246403
10.1103/PhysRevLett.100.107601,10.1103/PhysRevLett.98.246403
10.1103/PhysRevLett.108.187601,10.1103/PhysRevLett.108.037206
10.1103/PhysRevLett.101.226401,10.1103/PhysRevLett.100.026406
10.1103/PhysRevLett.108.187601,10.1103/PhysRevLett.105.237203
10.1103/PhysRevLett.107.247201,10.1103/PhysRevLett.101.137203
10.1103/PhysRevLett.101.227601,10.1103/PhysRevLett.99.256402
10.1103/PhysRevLett.101.137203,10.1103/PhysRevLett.99.217202
10.1103/PhysRevLett.110.117602,10.1103/PhysRevLett.100.107601
10.1103/PhysRevLett.110.234801,10.1103/PhysRevLett.108.227203
10.1103/PhysRevLett.101.227602,10.1103/PhysRevLett.98.247602
10.1103/PhysRevLett.103.207202,10.1103/PhysRevLett.98.246403
10.1103/PhysRevLett.108.037206,10.1103/PhysRevLett.103.207202
10.1103/PhysRevLett.110.117602,10.1103/PhysRevLett.99.217202
10.1103/PhysRevLett.108.037206,10.1103/PhysRevLett.101.227602
10.1103/PhysRevLett.101.227601,10.1103/PhysRevLett.101.227602
10.1103/PhysRevLett.108.187601,10.1103/PhysRevLett.103.207202
10.1103/PhysRevLett.99.086403,10.1103/PhysRevLett.98.246403
10.1103/PhysRevLett.108.037206,10.1103/PhysRevLett.101.227601
10.1103/PhysRevLett.103.207202,10.1103/PhysRevLett.99.217202
10.1103/PhysRevLett.99.167603,10.1103/PhysRevLett.98.065501
10.1103/PhysRevLett.103.077602,10.1103/PhysRevLett.99.217202
10.1103/PhysRevLett.101.227601,10.1103/PhysRevLett.99.086403
10.1103/PhysRevLett.101.227602,10.1103/PhysRevLett.98.246403
10.1103/PhysRevLett.109.016405,10.1103/PhysRevLett.108.187601
10.1103/PhysRevLett.103.077602,10.1103/PhysRevLett.98.247602
10.1103/PhysRevLett.101.227601,10.1103/PhysRevLett.99.217202
10.1103/PhysRevLett.107.247201,10.1103/PhysRevLett.103.207202
10.1103/PhysRevLett.106.016406,10.1103/PhysRevLett.99.086403
10.1103/PhysRevLett.105.237203,10.1103/PhysRevLett.100.107601
10.1103/PhysRevLett.103.077602,10.1103/PhysRevLett.101.227601
10.1103/PhysRevX.4.011040,10.1103/PhysRevLett.108.227203
10.1103/PhysRevX.4.011040,10.1103/PhysRevLett.103.076403
10.1103/PhysRevLett.106.167203,10.1103/PhysRevLett.100.026406
10.1103/PhysRevX.4.011040,10.1103/PhysRevLett.101.226401
10.1103/PhysRevLett.103.077602,10.1103/PhysRevLett.98.246403
10.1103/PhysRevLett.106.047601,10.1103/PhysRevLett.98.217601
10.1103/PhysRevLett.101.137203,10.1103/PhysRevLett.100.107601
10.1103/PhysRevLett.111.257202,10.1103/PhysRevLett.98.217601
10.1103/PhysRevLett.101.227601,10.1103/PhysRevLett.98.246403
10.1103/PhysRevLett.100.167207,10.1103/PhysRevLett.98.246403
10.1103/PhysRevLett.103.207202,10.1103/PhysRevLett.101.227601
10.1103/PhysRevX.4.011040,10.1103/PhysRevLett.110.207204
10.1103/PhysRevLett.108.187601,10.1103/PhysRevLett.99.256402
10.1103/PhysRevLett.103.076403,10.1103/PhysRevLett.98.065501
10.1103/PhysRevLett.101.227601,10.1103/PhysRevLett.100.107601
10.1103/PhysRevLett.108.227203,10.1103/PhysRevLett.100.026406
10.1103/PhysRevLett.103.207202,10.1103/PhysRevLett.101.137203
10.1103/PhysRevLett.99.256402,10.1103/PhysRevLett.99.086403
10.1103/PhysRevLett.108.187601,10.1103/PhysRevLett.99.217202
10.1103/PhysRevLett.103.207202,10.1103/PhysRevLett.100.107601
10.1103/PhysRevLett.100.107601,10.1103/PhysRevLett.98.247602
10.1103/PhysRevLett.109.016405,10.1103/PhysRevLett.101.227601
10.1103/PhysRevLett.105.237203,10.1103/PhysRevLett.101.227601
10.1103/PhysRevLett.101.227601,10.1103/PhysRevLett.98.247602
10.1103/PhysRevLett.108.187601,10.1103/PhysRevLett.100.107601
10.1103/PhysRevLett.109.016405,10.1103/PhysRevLett.101.227602
10.1103/PhysRevLett.108.187601,10.1103/PhysRevLett.101.137203
10.1103/PhysRevLett.108.187601,10.1103/PhysRevLett.101.227601
10.1103/PhysRevLett.105.237203,10.1103/PhysRevLett.101.227602
10.1103/PhysRevLett.110.117602,10.1103/PhysRevLett.101.227602
10.1103/PhysRevLett.103.207202,10.1103/PhysRevLett.98.217601
10.1103/PhysRevLett.101.227602,10.1103/PhysRevLett.101.227601
10.1103/PhysRevLett.110.117602,10.1103/PhysRevLett.101.227601
10.1103/PhysRevLett.108.187601,10.1103/PhysRevLett.99.086403
10.1103/PhysRevX.4.011040,10.1103/PhysRevLett.100.026406
10.1103/PhysRevLett.110.207204,10.1103/PhysRevLett.101.226401
10.1103/PhysRevLett.110.207204,10.1103/PhysRevLett.100.026406
10.1103/PhysRevLett.108.037206,10.1103/PhysRevLett.101.137203
10.1103/PhysRevLett.110.117602,10.1103/PhysRevLett.109.016405
10.1103/PhysRevLett.101.227602,10.1103/PhysRevLett.99.217202
10.1103/PhysRevLett.109.016405,10.1103/PhysRevLett.100.107601
10.1103/PhysRevLett.103.077602,10.1103/PhysRevLett.100.026406
10.1103/PhysRevLett.108.146404,10.1103/PhysRevLett.101.226401
10.1103/PhysRevLett.106.016406,10.1103/PhysRevLett.98.247602
10.1103/PhysRevLett.108.146404,10.1103/PhysRevLett.100.026406
10.1103/PhysRevLett.111.257202,10.1103/PhysRevLett.109.127203
10.1103/PhysRevLett.101.227602,10.1103/PhysRevLett.99.256402
10.1103/PhysRevLett.108.187601,10.1103/PhysRevLett.101.227602
10.1103/PhysRevLett.105.237203,10.1103/PhysRevLett.98.247602
10.1103/PhysRevLett.102.176405,10.1103/PhysRevLett.101.226401
10.1103/PhysRevLett.99.256402,10.1103/PhysRevLett.98.246403
10.1103/PhysRevLett.105.107202,10.1103/PhysRevLett.98.246403
