article_doi,group
10.1103/PhysRevLett.100.127801,838.0
10.1103/PhysRevLett.100.168301,838.0
10.1103/PhysRevLett.100.188301,838.0
10.1103/PhysRevLett.101.105702,838.0
10.1103/PhysRevLett.101.120605,838.0
10.1103/PhysRevLett.101.157801,838.0
10.1103/PhysRevLett.101.215901,838.0
10.1103/PhysRevLett.103.238102,838.0
10.1103/PhysRevLett.103.238303,838.0
10.1103/PhysRevLett.103.248304,838.0
10.1103/PhysRevLett.103.257801,838.0
10.1103/PhysRevLett.103.257804,838.0
10.1103/PhysRevLett.104.258102,838.0
10.1103/PhysRevLett.105.045502,838.0
10.1103/PhysRevLett.105.137801,838.0
10.1103/PhysRevLett.106.038301,838.0
10.1103/PhysRevLett.106.208302,838.0
10.1103/PhysRevLett.108.247801,838.0
10.1103/PhysRevLett.109.108303,838.0
10.1103/PhysRevLett.109.158101,838.0
10.1103/PhysRevLett.110.048102,838.0
10.1103/PhysRevLett.110.058301,838.0
10.1103/PhysRevLett.110.165502,838.0
10.1103/PhysRevLett.111.037801,838.0
10.1103/PhysRevLett.112.225502,838.0
10.1103/PhysRevLett.113.268103,838.0
10.1103/PhysRevLett.98.018101,838.0
10.1103/PhysRevLett.98.086101,838.0
10.1103/PhysRevLett.98.187802,838.0
10.1103/PhysRevLett.99.086106,838.0
10.1103/PhysRevLett.99.098101,838.0
10.1103/PhysRevLett.99.197802,838.0
10.1103/PhysRevX.4.021053,838.0
10.1103/RevModPhys.87.401,838.0
