article_doi,group
10.1103/PhysRevLett.100.020602,1361.0
10.1103/PhysRevLett.100.028303,1361.0
10.1103/PhysRevLett.100.035701,1361.0
10.1103/PhysRevLett.100.158001,1361.0
10.1103/PhysRevLett.100.165701,1361.0
10.1103/PhysRevLett.100.187002,1361.0
10.1103/PhysRevLett.101.067203,1361.0
10.1103/PhysRevLett.103.050602,1361.0
10.1103/PhysRevLett.103.168301,1361.0
10.1103/PhysRevLett.103.248301,1361.0
10.1103/PhysRevLett.104.257201,1361.0
10.1103/PhysRevLett.105.150601,1361.0
10.1103/PhysRevLett.105.150602,1361.0
10.1103/PhysRevLett.106.120601,1361.0
10.1103/PhysRevLett.106.178001,1361.0
10.1103/PhysRevLett.107.010603,1361.0
10.1103/PhysRevLett.107.250603,1361.0
10.1103/PhysRevLett.108.060602,1361.0
10.1103/PhysRevLett.109.015702,1361.0
10.1103/PhysRevLett.109.130601,1361.0
10.1103/PhysRevLett.109.170603,1361.0
10.1103/PhysRevLett.109.208001,1361.0
10.1103/PhysRevLett.109.238001,1361.0
10.1103/PhysRevLett.110.100603,1361.0
10.1103/PhysRevLett.110.228301,1361.0
10.1103/PhysRevLett.112.025702,1361.0
10.1103/PhysRevLett.112.030601,1361.0
10.1103/PhysRevLett.112.098002,1361.0
10.1103/PhysRevLett.112.228001,1361.0
10.1103/PhysRevLett.113.068301,1361.0
10.1103/PhysRevLett.114.060601,1361.0
10.1103/PhysRevLett.114.110601,1361.0
10.1103/PhysRevLett.114.110602,1361.0
10.1103/PhysRevLett.114.148301,1361.0
10.1103/PhysRevLett.114.217202,1361.0
10.1103/PhysRevLett.115.088301,1361.0
10.1103/PhysRevLett.115.108301,1361.0
10.1103/PhysRevLett.115.140601,1361.0
10.1103/PhysRevLett.98.155702,1361.0
10.1103/PhysRevLett.99.234503,1361.0
10.1103/PhysRevLett.99.240602,1361.0
10.1103/PhysRevX.5.021020,1361.0
10.1103/RevModPhys.81.1703,1361.0
