article_doi,group
10.1103/PhysRevLett.100.013604,1077.0
10.1103/PhysRevLett.100.013605,1077.0
10.1103/PhysRevLett.100.020503,1077.0
10.1103/PhysRevLett.100.030503,1077.0
10.1103/PhysRevLett.100.060504,1077.0
10.1103/PhysRevLett.100.073601,1077.0
10.1103/PhysRevLett.100.080501,1077.0
10.1103/PhysRevLett.100.090503,1077.0
10.1103/PhysRevLett.100.100503,1077.0
10.1103/PhysRevLett.100.123904,1077.0
10.1103/PhysRevLett.100.143601,1077.0
10.1103/PhysRevLett.100.203601,1077.0
10.1103/PhysRevLett.100.220501,1077.0
10.1103/PhysRevLett.100.233601,1077.0
10.1103/PhysRevLett.100.250406,1077.0
10.1103/PhysRevLett.100.253601,1077.0
10.1103/PhysRevLett.101.033602,1077.0
10.1103/PhysRevLett.101.040403,1077.0
10.1103/PhysRevLett.101.050403,1077.0
10.1103/PhysRevLett.101.060401,1077.0
10.1103/PhysRevLett.101.090403,1077.0
10.1103/PhysRevLett.101.093602,1077.0
10.1103/PhysRevLett.101.110402,1077.0
10.1103/PhysRevLett.101.180501,1077.0
10.1103/PhysRevLett.101.180506,1077.0
10.1103/PhysRevLett.101.233604,1077.0
10.1103/PhysRevLett.101.233605,1077.0
10.1103/PhysRevLett.101.253601,1077.0
10.1103/PhysRevLett.101.260401,1077.0
10.1103/PhysRevLett.102.010404,1077.0
10.1103/PhysRevLett.102.040403,1077.0
10.1103/PhysRevLett.102.060403,1077.0
10.1103/PhysRevLett.102.080404,1077.0
10.1103/PhysRevLett.102.110404,1077.0
10.1103/PhysRevLett.102.160502,1077.0
10.1103/PhysRevLett.102.163602,1077.0
10.1103/PhysRevLett.102.183602,1077.0
10.1103/PhysRevLett.102.183902,1077.0
10.1103/PhysRevLett.102.201303,1077.0
10.1103/PhysRevLett.102.213602,1077.0
10.1103/PhysRevLett.102.253601,1077.0
10.1103/PhysRevLett.103.010501,1077.0
10.1103/PhysRevLett.103.050501,1077.0
10.1103/PhysRevLett.103.070403,1077.0
10.1103/PhysRevLett.103.100501,1077.0
10.1103/PhysRevLett.103.113601,1077.0
10.1103/PhysRevLett.103.140406,1077.0
10.1103/PhysRevLett.103.160502,1077.0
10.1103/PhysRevLett.103.163602,1077.0
10.1103/PhysRevLett.103.171301,1077.0
10.1103/PhysRevLett.103.203601,1077.0
10.1103/PhysRevLett.103.210501,1077.0
10.1103/PhysRevLett.103.230503,1077.0
10.1103/PhysRevLett.103.233901,1077.0
10.1103/PhysRevLett.103.240501,1077.0
10.1103/PhysRevLett.104.020401,1077.0
10.1103/PhysRevLett.104.043601,1077.0
10.1103/PhysRevLett.104.063602,1077.0
10.1103/PhysRevLett.104.063603,1077.0
10.1103/PhysRevLett.104.083001,1077.0
10.1103/PhysRevLett.104.100502,1077.0
10.1103/PhysRevLett.104.103602,1077.0
10.1103/PhysRevLett.104.123602,1077.0
10.1103/PhysRevLett.104.187402,1077.0
10.1103/PhysRevLett.104.230405,1077.0
10.1103/PhysRevLett.104.250401,1077.0
10.1103/PhysRevLett.105.010402,1077.0
10.1103/PhysRevLett.105.010403,1077.0
10.1103/PhysRevLett.105.010404,1077.0
10.1103/PhysRevLett.105.013603,1077.0
10.1103/PhysRevLett.105.030407,1077.0
10.1103/PhysRevLett.105.053602,1077.0
10.1103/PhysRevLett.105.073602,1077.0
10.1103/PhysRevLett.105.080503,1077.0
10.1103/PhysRevLett.105.113602,1077.0
10.1103/PhysRevLett.105.120402,1077.0
10.1103/PhysRevLett.105.120501,1077.0
10.1103/PhysRevLett.105.150604,1077.0
10.1103/PhysRevLett.105.151301,1077.0
10.1103/PhysRevLett.105.160501,1077.0
10.1103/PhysRevLett.105.163602,1077.0
10.1103/PhysRevLett.105.180402,1077.0
10.1103/PhysRevLett.105.240403,1077.0
10.1103/PhysRevLett.106.060502,1077.0
10.1103/PhysRevLett.106.090504,1077.0
10.1103/PhysRevLett.106.110402,1077.0
10.1103/PhysRevLett.106.113602,1077.0
10.1103/PhysRevLett.106.130502,1077.0
10.1103/PhysRevLett.106.153603,1077.0
10.1103/PhysRevLett.106.180404,1077.0
10.1103/PhysRevLett.106.220401,1077.0
10.1103/PhysRevLett.107.050504,1077.0
10.1103/PhysRevLett.107.060405,1077.0
10.1103/PhysRevLett.107.083601,1077.0
10.1103/PhysRevLett.107.083603,1077.0
10.1103/PhysRevLett.107.107601,1077.0
10.1103/PhysRevLett.107.113603,1077.0
10.1103/PhysRevLett.107.130402,1077.0
10.1103/PhysRevLett.107.153601,1077.0
10.1103/PhysRevLett.107.163602,1077.0
10.1103/PhysRevLett.107.193602,1077.0
10.1103/PhysRevLett.107.233601,1077.0
10.1103/PhysRevLett.107.250401,1077.0
