citing_doi,cited_doi
10.1103/PhysRevLett.115.201301,10.1103/PhysRevLett.112.131301
10.1103/PhysRevLett.111.021802,10.1103/PhysRevLett.109.171101
10.1103/PhysRevLett.115.181104,10.1103/PhysRevLett.108.081103
10.1103/PhysRevLett.111.231801,10.1103/PhysRevLett.103.111301
10.1103/PhysRevLett.115.181104,10.1103/PhysRevLett.113.011101
10.1103/PhysRevLett.110.241103,10.1103/RevModPhys.83.793
10.1103/RevModPhys.87.1483,10.1103/PhysRevLett.101.212504
10.1103/PhysRevLett.110.031301,10.1103/PhysRevLett.98.021101
10.1103/PhysRevLett.107.111301,10.1103/PhysRevLett.105.261803
10.1103/PhysRevLett.115.111301,10.1103/PhysRevLett.113.261302
10.1103/PhysRevLett.109.131802,10.1103/PhysRevLett.99.190403
10.1103/PhysRevLett.106.041801,10.1103/PhysRevLett.102.101601
10.1103/PhysRevX.4.021030,10.1103/PhysRevLett.104.041301
10.1103/PhysRevLett.102.202001,10.1103/PhysRevLett.100.080402
10.1103/PhysRevLett.106.253002,10.1103/PhysRevLett.102.101601
10.1103/PhysRevLett.103.083001,10.1103/PhysRevLett.102.101601
10.1103/PhysRevLett.112.251102,10.1103/PhysRevLett.108.081103
10.1103/PhysRevLett.110.031301,10.1103/PhysRevLett.105.261803
10.1103/RevModPhys.87.1483,10.1103/PhysRevLett.107.091804
10.1103/PhysRevLett.114.151303,10.1103/PhysRevLett.102.121301
10.1103/PhysRevLett.105.051801,10.1103/PhysRevLett.98.131104
10.1103/PhysRevLett.105.171801,10.1103/PhysRevLett.105.051801
10.1103/PhysRevLett.109.034101,10.1103/PhysRevLett.101.067601
10.1103/PhysRevLett.107.134801,10.1103/PhysRevLett.99.161603
10.1103/RevModPhys.83.1111,10.1103/PhysRevLett.99.191803
10.1103/PhysRevLett.113.261301,10.1103/PhysRevLett.102.121301
10.1103/PhysRevLett.104.141601,10.1103/PhysRevLett.98.021101
10.1103/PhysRevLett.113.191302,10.1103/PhysRevLett.111.231301
10.1103/PhysRevLett.103.091301,10.1103/PhysRevLett.102.161301
10.1103/PhysRevLett.109.041301,10.1103/PhysRevLett.98.131104
10.1103/PhysRevLett.115.221801,10.1103/PhysRevLett.102.121301
10.1103/PhysRevLett.111.100801,10.1103/PhysRevLett.106.041801
10.1103/PhysRevLett.105.147001,10.1103/PhysRevLett.102.247003
10.1103/PhysRevLett.99.231102,10.1103/PhysRevLett.98.201801
10.1103/PhysRevLett.112.131301,10.1103/PhysRevLett.104.041301
10.1103/PhysRevLett.113.191302,10.1103/PhysRevLett.110.061101
10.1103/PhysRevLett.101.120401,10.1103/PhysRevLett.98.131802
10.1103/PhysRevLett.115.211105,10.1103/PhysRevLett.112.251102
10.1103/RevModPhys.87.1483,10.1103/PhysRevLett.107.102301
10.1103/PhysRevLett.115.221801,10.1103/PhysRevX.4.021030
10.1103/PhysRevLett.115.182001,10.1103/PhysRevLett.111.102001
10.1103/PhysRevLett.104.231301,10.1103/PhysRevLett.103.161601
10.1103/PhysRevLett.114.251101,10.1103/PhysRevLett.107.271301
10.1103/PhysRevLett.110.040402,10.1103/PhysRevLett.101.261801
10.1103/PhysRevLett.103.201102,10.1103/PhysRevLett.100.251603
10.1103/PhysRevLett.105.261803,10.1103/PhysRevLett.105.051801
10.1103/PhysRevLett.114.161101,10.1103/PhysRevLett.98.021101
10.1103/PhysRevLett.110.172502,10.1103/PhysRevLett.100.151801
10.1103/PhysRevLett.100.031803,10.1103/PhysRevLett.98.201101
10.1103/PhysRevLett.105.051801,10.1103/PhysRevLett.104.041301
10.1103/PhysRevLett.106.201102,10.1103/PhysRevLett.100.251603
10.1103/PhysRevLett.115.182001,10.1103/PhysRevLett.105.170401
10.1103/PhysRevLett.115.182001,10.1103/PhysRevLett.111.100801
10.1103/PhysRevLett.108.061304,10.1103/PhysRevLett.101.131801
10.1103/PhysRevLett.104.251301,10.1103/PhysRevLett.102.111303
10.1103/PhysRevLett.108.177602,10.1103/PhysRevLett.101.067601
10.1103/PhysRevLett.105.243001,10.1103/PhysRevLett.105.070801
10.1103/PhysRevLett.115.221801,10.1103/PhysRevLett.113.161801
10.1103/PhysRevLett.115.043602,10.1103/PhysRevLett.105.193601
10.1103/PhysRevLett.107.261302,10.1103/PhysRevLett.104.041301
10.1103/PhysRevLett.110.040402,10.1103/PhysRevLett.103.261801
10.1103/PhysRevLett.111.241103,10.1103/PhysRevLett.110.111101
10.1103/PhysRevLett.111.063001,10.1103/PhysRevLett.105.070801
10.1103/RevModPhys.82.939,10.1103/PhysRevLett.98.021101
10.1103/PhysRevLett.104.231301,10.1103/PhysRevLett.100.251603
10.1103/PhysRevLett.111.111101,10.1103/PhysRevLett.104.231301
10.1103/PhysRevLett.101.131801,10.1103/PhysRevLett.100.080402
10.1103/PhysRevLett.108.081101,10.1103/PhysRevLett.102.171101
10.1103/PhysRevLett.103.261801,10.1103/PhysRevLett.101.261801
10.1103/PhysRevLett.100.031301,10.1103/PhysRevLett.98.021101
10.1103/PhysRevLett.114.031101,10.1103/PhysRevLett.104.231301
10.1103/RevModPhys.87.1483,10.1103/PhysRevLett.102.142302
10.1103/PhysRevLett.102.247003,10.1103/PhysRevLett.99.117002
10.1103/PhysRevLett.103.080402,10.1103/PhysRevLett.99.190403
10.1103/PhysRevLett.109.241301,10.1103/PhysRevLett.104.231301
10.1103/PhysRevLett.110.241104,10.1103/PhysRevLett.109.051304
10.1103/PhysRevLett.108.081101,10.1103/PhysRevLett.98.021101
10.1103/PhysRevLett.111.102001,10.1103/PhysRevLett.105.170401
10.1103/PhysRevLett.105.171801,10.1103/PhysRevLett.104.041301
10.1103/PhysRevLett.107.077005,10.1103/PhysRevLett.99.117002
10.1103/PhysRevLett.101.131801,10.1103/PhysRevLett.99.190403
10.1103/PhysRevLett.109.131102,10.1103/RevModPhys.82.939
10.1103/PhysRevLett.105.261803,10.1103/PhysRevLett.102.030402
10.1103/PhysRevLett.111.222501,10.1103/RevModPhys.83.1173
10.1103/PhysRevLett.115.081801,10.1103/PhysRevLett.111.151802
10.1103/PhysRevLett.114.251101,10.1103/PhysRevLett.109.241301
10.1103/PhysRevLett.105.051801,10.1103/PhysRevLett.99.121103
10.1103/PhysRevLett.111.102001,10.1103/PhysRevLett.101.261801
10.1103/PhysRevLett.100.031803,10.1103/PhysRevLett.98.131104
10.1103/PhysRevLett.100.080402,10.1103/PhysRevLett.99.121103
10.1103/PhysRevLett.107.102301,10.1103/PhysRevLett.102.172301
10.1103/PhysRevLett.108.243001,10.1103/PhysRevLett.102.101601
10.1103/PhysRevLett.115.253001,10.1103/PhysRevLett.111.102001
10.1103/PhysRevLett.112.091302,10.1103/PhysRevLett.104.041301
10.1103/PhysRevLett.115.253001,10.1103/PhysRevLett.101.261801
10.1103/PhysRevLett.112.212301,10.1103/PhysRevLett.110.032501
10.1103/PhysRevLett.115.253001,10.1103/PhysRevLett.111.043002
10.1103/PhysRevLett.114.031101,10.1103/PhysRevLett.113.191101
10.1103/PhysRevLett.114.031104,10.1103/RevModPhys.84.671
10.1103/PhysRevLett.111.241103,10.1103/PhysRevLett.106.201102
10.1103/PhysRevLett.109.041301,10.1103/PhysRevLett.104.231301
10.1103/PhysRevLett.115.201301,10.1103/PhysRevX.4.021030
10.1103/PhysRevLett.113.191101,10.1103/PhysRevLett.108.041101
10.1103/PhysRevLett.105.232002,10.1103/PhysRevLett.98.221601
10.1103/PhysRevLett.108.181801,10.1103/PhysRevLett.98.021101
10.1103/PhysRevLett.115.182001,10.1103/PhysRevLett.103.261801
10.1103/PhysRevLett.102.086804,10.1103/PhysRevLett.99.117002
10.1103/PhysRevLett.110.111101,10.1103/PhysRevLett.108.041101
10.1103/PhysRevLett.103.261801,10.1103/PhysRevLett.98.131104
10.1103/PhysRevLett.113.201301,10.1103/PhysRevLett.103.111301
10.1103/PhysRevLett.115.081801,10.1103/PhysRevLett.103.261801
10.1103/PhysRevLett.108.243201,10.1103/PhysRevLett.101.212504
10.1103/PhysRevLett.110.031301,10.1103/PhysRevLett.104.231301
10.1103/PhysRevLett.111.043002,10.1103/PhysRevLett.105.070801
10.1103/RevModPhys.83.793,10.1103/PhysRevLett.100.141301
10.1103/PhysRevLett.112.151105,10.1103/PhysRevLett.111.100801
10.1103/PhysRevLett.111.231801,10.1103/PhysRevLett.99.117002
10.1103/PhysRevLett.111.100801,10.1103/PhysRevLett.105.170401
10.1103/PhysRevLett.106.101101,10.1103/PhysRevLett.100.251603
10.1103/RevModPhys.82.939,10.1103/PhysRevLett.103.201803
10.1103/PhysRevLett.115.033004,10.1103/PhysRevLett.102.101601
10.1103/PhysRevLett.113.161801,10.1103/PhysRevLett.111.102001
10.1103/PhysRevLett.113.033003,10.1103/PhysRevLett.107.093001
10.1103/PhysRevLett.111.231301,10.1103/PhysRevLett.107.261302
10.1103/PhysRevLett.115.201801,10.1103/PhysRevLett.98.021101
10.1103/PhysRevLett.98.201801,10.1103/PhysRevLett.98.050402
10.1103/PhysRevLett.109.181101,10.1103/PhysRevLett.102.251601
10.1103/PhysRevLett.112.161101,10.1103/PhysRevLett.104.181302
10.1103/PhysRevLett.109.193003,10.1103/PhysRevLett.102.101601
10.1103/PhysRevLett.109.131802,10.1103/PhysRevLett.105.250405
10.1103/PhysRevLett.110.040402,10.1103/PhysRevLett.98.221601
10.1103/PhysRevLett.110.081601,10.1103/PhysRevLett.104.181302
10.1103/PhysRevLett.111.021802,10.1103/PhysRevLett.98.021101
10.1103/PhysRevLett.109.051304,10.1103/RevModPhys.84.671
10.1103/PhysRevLett.115.201801,10.1103/PhysRevLett.101.261801
10.1103/PhysRevLett.108.261302,10.1103/PhysRevLett.106.181301
10.1103/PhysRevLett.112.151105,10.1103/PhysRevLett.105.051801
10.1103/PhysRevLett.105.083003,10.1103/PhysRevLett.103.261801
10.1103/PhysRevLett.101.131603,10.1103/PhysRevLett.98.221601
10.1103/PhysRevLett.109.081102,10.1103/PhysRevLett.103.111301
10.1103/PhysRevLett.107.131303,10.1103/PhysRevLett.102.251601
10.1103/PhysRevLett.115.181104,10.1103/PhysRevLett.99.201101
10.1103/PhysRevLett.103.080402,10.1103/PhysRevLett.100.080402
10.1103/PhysRevLett.115.253001,10.1103/PhysRevLett.111.100801
10.1103/RevModPhys.83.1111,10.1103/PhysRevLett.102.101601
10.1103/PhysRevLett.115.211105,10.1103/PhysRevLett.112.161101
10.1103/PhysRevLett.113.191302,10.1103/PhysRevLett.103.111301
10.1103/PhysRevLett.110.010602,10.1103/RevModPhys.83.1111
10.1103/PhysRevLett.113.201301,10.1103/PhysRevLett.104.041301
10.1103/PhysRevLett.110.161101,10.1103/PhysRevLett.109.241102
10.1103/RevModPhys.83.1111,10.1103/PhysRevLett.105.170401
10.1103/PhysRevLett.115.033004,10.1103/PhysRevLett.105.070801
10.1103/PhysRevLett.108.061304,10.1103/PhysRevLett.103.111301
10.1103/PhysRevLett.112.151105,10.1103/PhysRevLett.107.111301
10.1103/PhysRevLett.110.171101,10.1103/PhysRevLett.105.261803
10.1103/PhysRevLett.115.113003,10.1103/PhysRevLett.110.263004
10.1103/PhysRevLett.107.131101,10.1103/PhysRevLett.103.201102
10.1103/PhysRevLett.113.251302,10.1103/PhysRevLett.113.061301
10.1103/PhysRevLett.107.077005,10.1103/PhysRevLett.102.086804
10.1103/PhysRevLett.113.131301,10.1103/PhysRevLett.100.191301
10.1103/PhysRevLett.102.030402,10.1103/PhysRevLett.98.131104
10.1103/PhysRevLett.111.111101,10.1103/PhysRevLett.109.131102
10.1103/PhysRevLett.115.253001,10.1103/PhysRevLett.106.193005
10.1103/PhysRevLett.106.101101,10.1103/PhysRevLett.104.251301
10.1103/PhysRevLett.110.082003,10.1103/RevModPhys.83.1111
10.1103/PhysRevLett.107.134801,10.1103/PhysRevLett.99.104801
10.1103/RevModPhys.84.671,10.1103/PhysRevLett.103.201102
10.1103/PhysRevLett.108.181801,10.1103/PhysRevLett.105.170401
10.1103/PhysRevLett.113.163002,10.1103/PhysRevLett.105.170401
10.1103/PhysRevLett.105.231101,10.1103/PhysRevLett.104.231301
10.1103/PhysRevLett.107.131303,10.1103/PhysRevLett.102.161301
10.1103/PhysRevLett.109.181101,10.1103/PhysRevLett.104.181302
10.1103/PhysRevLett.100.031803,10.1103/PhysRevLett.99.051803
10.1103/RevModPhys.84.671,10.1103/PhysRevLett.99.131101
10.1103/PhysRevLett.115.182001,10.1103/PhysRevLett.110.082003
10.1103/PhysRevLett.111.241103,10.1103/PhysRevLett.104.231301
10.1103/PhysRevLett.115.113003,10.1103/PhysRevLett.105.243001
10.1103/RevModPhys.87.1483,10.1103/RevModPhys.83.1173
10.1103/PhysRevLett.99.051803,10.1103/PhysRevLett.98.221601
10.1103/PhysRevLett.111.021802,10.1103/PhysRevLett.110.111101
10.1103/PhysRevLett.108.081101,10.1103/PhysRevLett.98.201101
10.1103/RevModPhys.87.1483,10.1103/PhysRevLett.108.243201
10.1103/PhysRevLett.108.081101,10.1103/PhysRevLett.98.131104
10.1103/PhysRevLett.99.191804,10.1103/PhysRevLett.99.141301
10.1103/PhysRevLett.115.043602,10.1103/PhysRevLett.105.070801
10.1103/PhysRevLett.108.081101,10.1103/PhysRevLett.107.171101
10.1103/PhysRevLett.109.241102,10.1103/PhysRevLett.104.231301
10.1103/PhysRevLett.107.271301,10.1103/PhysRevLett.100.191301
10.1103/PhysRevLett.115.211105,10.1103/PhysRevLett.110.241104
10.1103/RevModPhys.82.939,10.1103/PhysRevLett.98.010402
10.1103/PhysRevLett.115.181104,10.1103/PhysRevLett.112.251102
10.1103/PhysRevLett.113.251302,10.1103/PhysRevX.4.021030
10.1103/RevModPhys.87.1483,10.1103/PhysRevLett.110.172502
10.1103/PhysRevLett.100.031803,10.1103/PhysRevLett.98.021101
10.1103/PhysRevLett.102.030402,10.1103/PhysRevLett.100.080402
10.1103/PhysRevLett.105.250405,10.1103/PhysRevLett.100.080402
10.1103/RevModPhys.87.1483,10.1103/PhysRevLett.112.212301
10.1103/PhysRevLett.102.141301,10.1103/PhysRevLett.98.131104
10.1103/PhysRevLett.110.040402,10.1103/PhysRevLett.106.041801
10.1103/PhysRevLett.113.161801,10.1103/PhysRevLett.103.261801
10.1103/RevModPhys.83.1111,10.1103/PhysRevLett.99.161603
10.1103/PhysRevLett.107.023204,10.1103/PhysRevLett.103.261801
10.1103/PhysRevLett.99.191804,10.1103/PhysRevLett.98.221601
10.1103/RevModPhys.83.1173,10.1103/PhysRevLett.105.181803
10.1103/PhysRevLett.111.231301,10.1103/PhysRevLett.110.061101
10.1103/PhysRevLett.103.211102,10.1103/PhysRevLett.98.021101
10.1103/PhysRevLett.111.231801,10.1103/PhysRevLett.98.172002
10.1103/PhysRevLett.111.021802,10.1103/RevModPhys.84.671
10.1103/PhysRevLett.98.261801,10.1103/PhysRevLett.98.010402
10.1103/PhysRevLett.112.161101,10.1103/PhysRevLett.101.261102
10.1103/PhysRevLett.103.261801,10.1103/PhysRevLett.99.191804
10.1103/PhysRevLett.111.061802,10.1103/PhysRevLett.108.081101
10.1103/PhysRevLett.104.251301,10.1103/PhysRevLett.102.161301
10.1103/PhysRevLett.99.191804,10.1103/PhysRevLett.99.051803
10.1103/PhysRevLett.103.080402,10.1103/PhysRevLett.98.050402
10.1103/PhysRevLett.110.172502,10.1103/RevModPhys.83.1111
10.1103/RevModPhys.84.671,10.1103/PhysRevLett.100.251603
10.1103/PhysRevLett.107.171101,10.1103/PhysRevLett.98.021101
10.1103/PhysRevLett.110.032501,10.1103/PhysRevLett.109.042301
10.1103/RevModPhys.84.671,10.1103/PhysRevLett.106.201102
10.1103/PhysRevX.4.021030,10.1103/PhysRevLett.108.243001
10.1103/PhysRevLett.109.131802,10.1103/PhysRevLett.100.080402
10.1103/PhysRevLett.114.151303,10.1103/PhysRevLett.113.261301
10.1103/RevModPhys.83.1111,10.1103/PhysRevLett.100.151801
10.1103/PhysRevLett.113.163002,10.1103/PhysRevLett.111.100801
10.1103/PhysRevLett.109.041301,10.1103/PhysRevLett.98.021101
10.1103/PhysRevLett.115.201801,10.1103/PhysRevLett.111.151802
10.1103/PhysRevLett.106.041801,10.1103/PhysRevLett.98.081101
10.1103/PhysRevLett.115.221801,10.1103/PhysRevLett.114.151303
10.1103/RevModPhys.87.1483,10.1103/PhysRevLett.102.101601
10.1103/PhysRevLett.111.231801,10.1103/PhysRevLett.104.041301
10.1103/PhysRevLett.108.134801,10.1103/PhysRevLett.99.104801
10.1103/RevModPhys.87.1483,10.1103/RevModPhys.83.1111
10.1103/PhysRevLett.103.261801,10.1103/PhysRevLett.102.101601
10.1103/PhysRevLett.105.181803,10.1103/PhysRevLett.102.012301
10.1103/PhysRevLett.103.080402,10.1103/PhysRevLett.101.120401
10.1103/PhysRevLett.113.261302,10.1103/PhysRevLett.103.111301
10.1103/PhysRevLett.98.201101,10.1103/PhysRevLett.98.021101
10.1103/PhysRevLett.111.121103,10.1103/PhysRevLett.105.151102
10.1103/PhysRevLett.111.241103,10.1103/PhysRevLett.111.021802
10.1103/PhysRevLett.115.113003,10.1103/PhysRevLett.103.261801
10.1103/PhysRevLett.107.093001,10.1103/PhysRevLett.102.101601
10.1103/PhysRevLett.113.201301,10.1103/PhysRevX.4.021030
10.1103/PhysRevLett.114.233002,10.1103/PhysRevLett.102.101601
10.1103/PhysRevLett.106.041801,10.1103/PhysRevLett.104.041301
10.1103/PhysRevLett.113.161801,10.1103/PhysRevLett.104.041301
