article_doi,group
10.1103/PhysRevLett.101.037208,563.0
10.1103/PhysRevLett.101.058701,563.0
10.1103/PhysRevLett.104.048702,563.0
10.1103/PhysRevLett.104.048703,563.0
10.1103/PhysRevLett.104.048704,563.0
10.1103/PhysRevLett.104.207208,563.0
10.1103/PhysRevLett.106.178104,563.0
10.1103/PhysRevLett.107.041601,563.0
10.1103/PhysRevLett.108.208701,563.0
10.1103/PhysRevLett.110.018104,563.0
10.1103/PhysRevLett.110.135703,563.0
10.1103/PhysRevLett.110.227201,563.0
10.1103/PhysRevLett.111.138701,563.0
10.1103/PhysRevLett.113.085301,563.0
10.1103/PhysRevLett.113.138701,563.0
10.1103/PhysRevLett.113.208302,563.0
10.1103/PhysRevLett.98.088701,563.0
10.1103/PhysRevLett.98.088702,563.0
10.1103/PhysRevLett.98.155701,563.0
10.1103/PhysRevLett.99.115701,563.0
10.1103/PhysRevX.4.021024,563.0
