citing_doi,cited_doi
10.1103/PhysRevLett.110.167003,10.1103/PhysRevLett.105.136401
10.1103/PhysRevLett.112.156404,10.1103/RevModPhys.81.1551
10.1103/RevModPhys.83.1301,10.1103/PhysRevLett.100.037004
10.1103/PhysRevLett.101.046401,10.1103/PhysRevLett.100.177001
10.1103/PhysRevLett.108.146403,10.1103/PhysRevLett.101.187001
10.1103/PhysRevLett.109.246405,10.1103/PhysRevLett.106.106601
10.1103/RevModPhys.81.1551,10.1103/PhysRevLett.101.046401
10.1103/PhysRevLett.108.027001,10.1103/PhysRevLett.104.037002
10.1103/PhysRevLett.107.137001,10.1103/PhysRevLett.99.146402
10.1103/PhysRevLett.101.056403,10.1103/PhysRevLett.100.096404
10.1103/PhysRevLett.101.177002,10.1103/PhysRevLett.100.177001
10.1103/PhysRevLett.101.147004,10.1103/PhysRevLett.100.177001
10.1103/PhysRevLett.114.027002,10.1103/PhysRevLett.106.156403
10.1103/PhysRevLett.101.047004,10.1103/PhysRevLett.99.187002
10.1103/PhysRevLett.107.087004,10.1103/PhysRevLett.98.147002
10.1103/PhysRevLett.105.126401,10.1103/PhysRevLett.100.136401
10.1103/PhysRevLett.109.046401,10.1103/PhysRevLett.101.187001
10.1103/PhysRevLett.100.037004,10.1103/PhysRevLett.99.116402
10.1103/RevModPhys.81.1551,10.1103/PhysRevLett.98.036402
10.1103/RevModPhys.81.235,10.1103/PhysRevLett.98.116401
10.1103/PhysRevLett.107.087002,10.1103/PhysRevLett.102.207004
10.1103/PhysRevLett.108.187003,10.1103/PhysRevLett.98.266405
10.1103/PhysRevX.1.011010,10.1103/RevModPhys.81.1551
10.1103/PhysRevLett.100.017004,10.1103/PhysRevLett.98.016401
10.1103/RevModPhys.83.1301,10.1103/PhysRevLett.103.076404
10.1103/RevModPhys.83.1301,10.1103/PhysRevLett.106.196407
10.1103/PhysRevX.1.011010,10.1103/PhysRevLett.106.137004
10.1103/PhysRevLett.112.236401,10.1103/PhysRevLett.110.246406
10.1103/PhysRevLett.108.186401,10.1103/PhysRevLett.106.086401
10.1103/PhysRevLett.111.026401,10.1103/PhysRevLett.110.026403
10.1103/PhysRevLett.109.046401,10.1103/PhysRevLett.99.257401
10.1103/PhysRevLett.109.067202,10.1103/RevModPhys.83.1301
10.1103/PhysRevLett.109.246405,10.1103/RevModPhys.83.1301
10.1103/PhysRevLett.108.207005,10.1103/PhysRevLett.99.187002
10.1103/PhysRevLett.110.216406,10.1103/RevModPhys.83.1301
10.1103/PhysRevLett.108.186401,10.1103/PhysRevLett.105.246401
10.1103/PhysRevLett.102.156403,10.1103/PhysRevLett.100.037004
10.1103/PhysRevLett.101.266403,10.1103/PhysRevLett.100.096404
10.1103/PhysRevLett.108.027001,10.1103/PhysRevLett.101.177002
10.1103/PhysRevLett.110.156404,10.1103/PhysRevLett.106.106601
