citing_doi,cited_doi
10.1103/PhysRevLett.110.185005,10.1103/PhysRevLett.109.025002
10.1103/PhysRevLett.111.015001,10.1103/PhysRevLett.102.255003
10.1103/PhysRevLett.106.018501,10.1103/PhysRevLett.99.165002
10.1103/PhysRevLett.111.165001,10.1103/PhysRevLett.110.185005
10.1103/PhysRevLett.114.125003,10.1103/PhysRevLett.111.015006
10.1103/PhysRevLett.114.125003,10.1103/PhysRevLett.108.125001
10.1103/PhysRevLett.106.115002,10.1103/PhysRevLett.98.075002
10.1103/PhysRevLett.103.235002,10.1103/PhysRevLett.98.075002
10.1103/PhysRevLett.114.125003,10.1103/PhysRevLett.106.018501
10.1103/PhysRevLett.109.085002,10.1103/PhysRevLett.105.128501
10.1103/PhysRevLett.112.045003,10.1103/PhysRevLett.110.185005
10.1103/PhysRevLett.111.115003,10.1103/PhysRevLett.108.125001
10.1103/PhysRevLett.112.045003,10.1103/PhysRevLett.105.128501
10.1103/PhysRevLett.106.018501,10.1103/PhysRevLett.102.255003
10.1103/PhysRevLett.111.255001,10.1103/PhysRevLett.109.085002
10.1103/PhysRevLett.115.015002,10.1103/PhysRevLett.110.185005
10.1103/PhysRevLett.107.065002,10.1103/PhysRevLett.102.254501
10.1103/PhysRevLett.112.045003,10.1103/PhysRevLett.106.018501
10.1103/PhysRevLett.102.255003,10.1103/PhysRevLett.99.165002
10.1103/PhysRevLett.111.015006,10.1103/PhysRevLett.106.018501
10.1103/PhysRevLett.115.015002,10.1103/PhysRevLett.109.025002
10.1103/PhysRevLett.108.225003,10.1103/PhysRevLett.106.018501
10.1103/PhysRevLett.111.255001,10.1103/PhysRevLett.107.065002
10.1103/PhysRevLett.109.085002,10.1103/PhysRevLett.106.018501
10.1103/PhysRevLett.111.015006,10.1103/PhysRevLett.108.125001
10.1103/PhysRevLett.107.065002,10.1103/PhysRevLett.98.075002
10.1103/PhysRevLett.105.128501,10.1103/PhysRevLett.102.255003
10.1103/PhysRevLett.114.165001,10.1103/PhysRevLett.107.061101
10.1103/PhysRevLett.114.165001,10.1103/PhysRevLett.110.185005
10.1103/PhysRevLett.109.085002,10.1103/PhysRevLett.102.255003
10.1103/PhysRevLett.106.018501,10.1103/PhysRevLett.105.128501
10.1103/PhysRevLett.112.045003,10.1103/PhysRevLett.111.015001
10.1103/PhysRevLett.111.015001,10.1103/PhysRevLett.99.165002
10.1103/PhysRevLett.105.128501,10.1103/PhysRevLett.99.165002
10.1103/PhysRevLett.109.085002,10.1103/PhysRevLett.99.165002
10.1103/PhysRevLett.105.075004,10.1103/PhysRevLett.99.165002
