citing_doi,cited_doi
10.1103/PhysRevLett.104.061804,10.1103/PhysRevLett.102.021802
10.1103/PhysRevLett.104.061802,10.1103/PhysRevLett.104.061801
10.1103/PhysRevLett.108.261802,10.1103/PhysRevLett.107.261801
10.1103/RevModPhys.84.211,10.1103/PhysRevLett.100.192003
10.1103/PhysRevLett.115.061801,10.1103/PhysRevLett.109.132001
10.1103/PhysRevLett.101.251802,10.1103/PhysRevLett.100.041801
10.1103/PhysRevLett.113.261804,10.1103/PhysRevLett.112.231805
10.1103/PhysRevLett.109.152003,10.1103/PhysRevLett.108.151804
10.1103/PhysRevLett.102.151801,10.1103/PhysRevLett.99.191802
10.1103/PhysRevLett.107.012002,10.1103/PhysRevLett.103.191803
10.1103/PhysRevLett.115.152003,10.1103/PhysRevLett.113.261804
10.1103/PhysRevLett.108.182003,10.1103/PhysRevLett.107.172001
10.1103/PhysRevLett.109.121803,10.1103/PhysRevLett.100.102002
10.1103/RevModPhys.84.211,10.1103/PhysRevLett.107.261801
10.1103/PhysRevLett.114.151802,10.1103/PhysRevLett.109.111802
10.1103/PhysRevLett.108.101801,10.1103/PhysRevLett.100.201801
10.1103/PhysRevLett.109.111805,10.1103/PhysRevLett.104.141801
10.1103/RevModPhys.86.479,10.1103/PhysRevLett.109.111803
10.1103/PhysRevLett.108.212001,10.1103/PhysRevLett.108.032004
10.1103/PhysRevLett.109.092001,10.1103/PhysRevLett.101.142001
10.1103/PhysRevLett.112.231804,10.1103/PhysRevLett.109.111804
10.1103/PhysRevLett.109.111805,10.1103/PhysRevLett.109.111803
10.1103/PhysRevLett.109.111803,10.1103/PhysRevLett.100.102001
10.1103/RevModPhys.86.479,10.1103/PhysRevLett.109.121803
10.1103/PhysRevLett.112.171801,10.1103/PhysRevLett.110.081803
10.1103/PhysRevLett.100.062005,10.1103/PhysRevLett.99.182002
10.1103/PhysRevLett.105.092002,10.1103/PhysRevLett.104.061802
10.1103/PhysRevLett.106.211803,10.1103/PhysRevLett.100.142002
10.1103/RevModPhys.86.479,10.1103/PhysRevLett.109.121804
10.1103/PhysRevLett.109.121803,10.1103/PhysRevLett.105.251801
10.1103/PhysRevLett.108.032003,10.1103/PhysRevLett.100.242001
10.1103/RevModPhys.87.421,10.1103/PhysRevLett.112.182001
10.1103/PhysRevLett.104.252001,10.1103/PhysRevLett.102.151801
10.1103/PhysRevLett.109.211802,10.1103/PhysRevLett.104.251801
10.1103/PhysRevLett.109.121802,10.1103/PhysRevLett.109.071804
10.1103/PhysRevLett.104.061804,10.1103/PhysRevLett.100.102002
10.1103/PhysRevLett.115.052001,10.1103/PhysRevLett.109.132001
10.1103/PhysRevLett.106.022001,10.1103/PhysRevLett.103.092001
10.1103/PhysRevLett.106.251803,10.1103/PhysRevLett.104.101801
10.1103/PhysRevLett.109.121804,10.1103/PhysRevLett.102.051803
10.1103/RevModPhys.84.1477,10.1103/PhysRevLett.102.201802
10.1103/PhysRevLett.108.032004,10.1103/PhysRevLett.107.032001
10.1103/PhysRevLett.114.051801,10.1103/PhysRevLett.113.141803
10.1103/PhysRevLett.112.182001,10.1103/PhysRevLett.100.142002
10.1103/PhysRevLett.107.011804,10.1103/PhysRevLett.100.102002
10.1103/RevModPhys.84.211,10.1103/PhysRevLett.100.062005
10.1103/PhysRevLett.100.211803,10.1103/PhysRevLett.100.031804
10.1103/RevModPhys.86.479,10.1103/PhysRevLett.109.121802
10.1103/RevModPhys.84.1477,10.1103/PhysRevLett.100.201801
10.1103/RevModPhys.84.211,10.1103/PhysRevLett.105.042002
10.1103/PhysRevLett.105.071801,10.1103/PhysRevLett.100.031804
10.1103/RevModPhys.86.479,10.1103/PhysRevLett.104.201801
