citing_doi,cited_doi
10.1103/PhysRevLett.113.165501,10.1103/PhysRevLett.111.087401
10.1103/PhysRevLett.109.066801,10.1103/PhysRevLett.108.076801
10.1103/PhysRevLett.101.196801,10.1103/PhysRevLett.99.157202
10.1103/PhysRevLett.100.026103,10.1103/PhysRevLett.98.086401
10.1103/PhysRevLett.108.126808,10.1103/PhysRevLett.98.136802
10.1103/PhysRevLett.109.186101,10.1103/RevModPhys.82.307
10.1103/PhysRevLett.107.165702,10.1103/PhysRevLett.105.126102
10.1103/PhysRevLett.107.165702,10.1103/RevModPhys.82.307
10.1103/PhysRevLett.109.266401,10.1103/PhysRevLett.99.196804
10.1103/PhysRevLett.110.116801,10.1103/PhysRevLett.102.226805
10.1103/PhysRevLett.103.096104,10.1103/PhysRevLett.101.076103
10.1103/PhysRevLett.108.096801,10.1103/PhysRevLett.104.256403
10.1103/PhysRevLett.110.226101,10.1103/PhysRevLett.102.166101
10.1103/PhysRevLett.110.116801,10.1103/RevModPhys.82.307
10.1103/PhysRevLett.111.087401,10.1103/PhysRevLett.104.157402
10.1103/PhysRevLett.106.026801,10.1103/PhysRevLett.101.266101
10.1103/PhysRevLett.111.115502,10.1103/PhysRevLett.106.146802
10.1103/PhysRevLett.111.216802,10.1103/PhysRevLett.99.157202
10.1103/PhysRevLett.104.016602,10.1103/PhysRevLett.100.056806
10.1103/PhysRevLett.110.166401,10.1103/PhysRevLett.98.086401
10.1103/PhysRevLett.113.165501,10.1103/PhysRevLett.110.036102
10.1103/RevModPhys.82.307,10.1103/PhysRevLett.98.026105
10.1103/PhysRevLett.99.166103,10.1103/PhysRevLett.98.126401
10.1103/PhysRevLett.113.196802,10.1103/PhysRevLett.99.116102
10.1103/PhysRevLett.105.126102,10.1103/PhysRevLett.102.115501
10.1103/PhysRevLett.105.126102,10.1103/PhysRevLett.98.026105
10.1103/PhysRevLett.113.196802,10.1103/PhysRevLett.110.116801
10.1103/PhysRevLett.107.187603,10.1103/PhysRevLett.98.126401
10.1103/PhysRevLett.100.146103,10.1103/PhysRevLett.100.126801
10.1103/PhysRevLett.100.056806,10.1103/PhysRevLett.98.136802
10.1103/PhysRevLett.113.086101,10.1103/PhysRevLett.110.036102
10.1103/PhysRevLett.102.226805,10.1103/PhysRevLett.100.106802
10.1103/PhysRevLett.115.266803,10.1103/PhysRevLett.100.146103
10.1103/PhysRevLett.106.026801,10.1103/PhysRevLett.102.115501
10.1103/PhysRevLett.110.226101,10.1103/PhysRevLett.101.076103
10.1103/PhysRevLett.113.196802,10.1103/PhysRevLett.101.186102
10.1103/PhysRevLett.108.076801,10.1103/PhysRevLett.101.076103
10.1103/PhysRevLett.110.116801,10.1103/PhysRevLett.98.026105
10.1103/PhysRevLett.110.226101,10.1103/PhysRevLett.108.076801
10.1103/PhysRevLett.113.165501,10.1103/PhysRevLett.113.086101
10.1103/PhysRevLett.99.166103,10.1103/PhysRevLett.98.086401
10.1103/PhysRevLett.100.106802,10.1103/PhysRevLett.98.026105
10.1103/PhysRevLett.106.017202,10.1103/PhysRevLett.99.157202
10.1103/PhysRevLett.109.266401,10.1103/PhysRevLett.100.076802
10.1103/RevModPhys.82.307,10.1103/PhysRevLett.101.236802
10.1103/PhysRevLett.103.046804,10.1103/PhysRevLett.101.186102
10.1103/PhysRevLett.114.196101,10.1103/PhysRevLett.105.126102
10.1103/PhysRevLett.102.226805,10.1103/PhysRevLett.98.026105
10.1103/PhysRevLett.109.066801,10.1103/RevModPhys.82.307
10.1103/PhysRevLett.115.266803,10.1103/PhysRevLett.109.066801
10.1103/PhysRevLett.109.066801,10.1103/PhysRevLett.100.126801
10.1103/PhysRevLett.104.086404,10.1103/PhysRevLett.102.166101
10.1103/PhysRevLett.110.166401,10.1103/PhysRevLett.109.226401
10.1103/PhysRevLett.114.196101,10.1103/PhysRevLett.107.187603
10.1103/PhysRevLett.111.216802,10.1103/PhysRevLett.101.076103
10.1103/PhysRevLett.109.095504,10.1103/PhysRevLett.106.146802
10.1103/PhysRevLett.107.165702,10.1103/PhysRevLett.101.236802
10.1103/PhysRevLett.103.046804,10.1103/PhysRevLett.98.086401
10.1103/RevModPhys.82.307,10.1103/PhysRevLett.99.196804
10.1103/PhysRevLett.102.115501,10.1103/PhysRevLett.98.026105
10.1103/PhysRevLett.107.187603,10.1103/PhysRevLett.103.046804
10.1103/PhysRevLett.101.186102,10.1103/PhysRevLett.98.086401
10.1103/PhysRevLett.114.196101,10.1103/RevModPhys.82.307
10.1103/PhysRevLett.104.086404,10.1103/PhysRevLett.101.196801
