article_doi,group
10.1103/PhysRevLett.100.016403,103.0
10.1103/PhysRevLett.100.126401,103.0
10.1103/PhysRevLett.100.133002,103.0
10.1103/PhysRevLett.101.016804,103.0
10.1103/PhysRevLett.101.033003,103.0
10.1103/PhysRevLett.101.047005,103.0
10.1103/PhysRevLett.101.056602,103.0
10.1103/PhysRevLett.101.187002,103.0
10.1103/PhysRevLett.102.056805,103.0
10.1103/PhysRevLett.102.116802,103.0
10.1103/PhysRevLett.102.236806,103.0
10.1103/PhysRevLett.103.167003,103.0
10.1103/PhysRevLett.104.036804,103.0
10.1103/PhysRevLett.104.066805,103.0
10.1103/PhysRevLett.105.246807,103.0
10.1103/PhysRevLett.106.146801,103.0
10.1103/PhysRevLett.106.206602,103.0
10.1103/PhysRevLett.106.236601,103.0
10.1103/PhysRevLett.108.077002,103.0
10.1103/PhysRevLett.108.106603,103.0
10.1103/PhysRevLett.108.166605,103.0
10.1103/PhysRevLett.108.236601,103.0
10.1103/PhysRevLett.109.073001,103.0
10.1103/PhysRevLett.109.246403,103.0
10.1103/PhysRevLett.111.046602,103.0
10.1103/PhysRevLett.113.046801,103.0
10.1103/PhysRevLett.113.236401,103.0
10.1103/PhysRevLett.113.266402,103.0
10.1103/PhysRevLett.114.206601,103.0
10.1103/PhysRevLett.98.196601,103.0
10.1103/PhysRevLett.99.176803,103.0
