citing_doi,cited_doi
10.1103/PhysRevLett.108.165701,10.1103/PhysRevLett.98.137207
10.1103/PhysRevLett.100.118302,10.1103/PhysRevLett.98.058304
10.1103/PhysRevLett.104.118302,10.1103/PhysRevLett.98.085702
10.1103/PhysRevLett.106.108101,10.1103/PhysRevLett.100.118301
10.1103/PhysRevLett.109.037801,10.1103/RevModPhys.79.943
10.1103/PhysRevLett.101.228101,10.1103/PhysRevLett.99.038104
10.1103/PhysRevLett.102.108302,10.1103/PhysRevLett.98.058304
10.1103/PhysRevLett.111.168302,10.1103/PhysRevLett.107.237801
10.1103/PhysRevLett.110.198301,10.1103/PhysRevLett.103.248305
10.1103/PhysRevLett.107.158301,10.1103/PhysRevLett.98.058304
10.1103/PhysRevLett.106.085703,10.1103/PhysRevLett.103.237801
10.1103/PhysRevLett.107.237801,10.1103/PhysRevLett.103.237801
10.1103/RevModPhys.79.943,10.1103/PhysRevLett.98.058103
10.1103/PhysRevLett.101.038302,10.1103/PhysRevLett.100.118303
10.1103/PhysRevLett.100.118303,10.1103/PhysRevLett.98.058304
10.1103/RevModPhys.81.1753,10.1103/PhysRevLett.102.108302
10.1103/PhysRevLett.98.137207,10.1103/PhysRevLett.98.085702
10.1103/PhysRevLett.108.165701,10.1103/PhysRevLett.103.237801
10.1103/PhysRevLett.110.148306,10.1103/PhysRevLett.106.085703
10.1103/PhysRevLett.109.037801,10.1103/PhysRevLett.105.017801
10.1103/PhysRevLett.100.118302,10.1103/RevModPhys.79.943
10.1103/PhysRevLett.102.028301,10.1103/PhysRevLett.101.038302
10.1103/PhysRevLett.111.047802,10.1103/PhysRevLett.100.118303
10.1103/RevModPhys.81.1753,10.1103/PhysRevLett.98.058304
10.1103/PhysRevLett.113.268303,10.1103/PhysRevLett.100.118302
10.1103/PhysRevLett.109.155901,10.1103/PhysRevLett.104.118302
10.1103/PhysRevLett.110.107801,10.1103/PhysRevLett.109.037801
10.1103/PhysRevLett.109.238301,10.1103/PhysRevLett.106.085703
10.1103/PhysRevLett.106.208301,10.1103/PhysRevLett.101.038302
10.1103/PhysRevLett.102.144502,10.1103/PhysRevLett.101.038302
10.1103/PhysRevLett.113.268303,10.1103/RevModPhys.81.1753
10.1103/PhysRevLett.113.268303,10.1103/PhysRevLett.102.108302
10.1103/PhysRevLett.114.138102,10.1103/PhysRevLett.102.108302
10.1103/PhysRevLett.113.268303,10.1103/PhysRevLett.98.058304
10.1103/PhysRevLett.106.108101,10.1103/RevModPhys.79.943
10.1103/PhysRevLett.104.120602,10.1103/PhysRevLett.103.237801
10.1103/PhysRevLett.107.237801,10.1103/PhysRevLett.106.085703
10.1103/PhysRevLett.106.108101,10.1103/PhysRevLett.99.038104
10.1103/RevModPhys.81.1753,10.1103/PhysRevLett.100.118302
10.1103/PhysRevLett.110.148306,10.1103/PhysRevLett.101.038302
10.1103/PhysRevLett.113.138303,10.1103/PhysRevLett.104.118302
10.1103/PhysRevLett.111.168302,10.1103/PhysRevLett.103.237801
10.1103/PhysRevLett.100.118301,10.1103/PhysRevLett.99.038104
10.1103/PhysRevLett.110.148306,10.1103/PhysRevLett.107.237801
10.1103/PhysRevLett.111.168302,10.1103/PhysRevLett.110.148306
10.1103/PhysRevLett.110.107801,10.1103/RevModPhys.79.943
10.1103/PhysRevLett.105.248101,10.1103/RevModPhys.79.943
10.1103/PhysRevLett.110.198301,10.1103/PhysRevLett.109.238301
10.1103/PhysRevLett.109.218102,10.1103/PhysRevLett.98.058103
10.1103/PhysRevLett.111.168302,10.1103/PhysRevLett.106.085703
10.1103/PhysRevLett.106.108101,10.1103/PhysRevLett.101.228101
