citing_doi,cited_doi
10.1103/PhysRevLett.105.108102,10.1103/PhysRevLett.98.148102
10.1103/PhysRevLett.104.108301,10.1103/PhysRevLett.100.138302
10.1103/PhysRevLett.115.265503,10.1103/PhysRevLett.100.178303
10.1103/PhysRevLett.110.138101,10.1103/PhysRevLett.98.148102
10.1103/PhysRevLett.110.138101,10.1103/PhysRevLett.100.158104
10.1103/PhysRevLett.100.138302,10.1103/PhysRevLett.98.088304
10.1103/PhysRevLett.104.198304,10.1103/PhysRevLett.100.098101
10.1103/PhysRevLett.110.138101,10.1103/PhysRevLett.100.098101
10.1103/PhysRevLett.115.154301,10.1103/PhysRevLett.112.014301
10.1103/PhysRevLett.101.248301,10.1103/PhysRevLett.98.148102
10.1103/PhysRevLett.110.248101,10.1103/PhysRevLett.98.148102
10.1103/PhysRevLett.112.078302,10.1103/PhysRevLett.100.198301
10.1103/PhysRevLett.105.108102,10.1103/PhysRevLett.99.038103
10.1103/PhysRevLett.115.265503,10.1103/PhysRevLett.112.014301
10.1103/PhysRevLett.108.240601,10.1103/PhysRevLett.107.248101
10.1103/PhysRevLett.100.158104,10.1103/PhysRevLett.99.038103
10.1103/RevModPhys.82.1459,10.1103/PhysRevLett.100.198301
10.1103/PhysRevLett.104.198304,10.1103/PhysRevLett.100.198301
10.1103/PhysRevLett.107.164303,10.1103/PhysRevLett.105.125505
10.1103/PhysRevLett.103.050601,10.1103/PhysRevLett.98.088304
10.1103/RevModPhys.82.1459,10.1103/PhysRevLett.100.098101
10.1103/PhysRevLett.107.164303,10.1103/RevModPhys.82.1459
10.1103/PhysRevLett.103.188102,10.1103/PhysRevLett.98.148102
10.1103/PhysRevLett.101.248301,10.1103/PhysRevLett.100.098101
10.1103/PhysRevLett.105.108102,10.1103/PhysRevLett.100.158104
10.1103/PhysRevLett.112.078302,10.1103/PhysRevLett.104.108301
10.1103/PhysRevLett.108.240601,10.1103/PhysRevLett.103.050601
10.1103/PhysRevLett.103.188102,10.1103/PhysRevLett.100.158104
10.1103/PhysRevLett.100.138302,10.1103/PhysRevLett.98.148102
10.1103/PhysRevLett.100.158104,10.1103/PhysRevLett.98.148102
10.1103/PhysRevLett.99.038103,10.1103/PhysRevLett.98.148102
10.1103/PhysRevLett.115.265503,10.1103/PhysRevLett.105.125505
