article_doi,group
10.1103/PhysRevLett.100.137802,435.0
10.1103/PhysRevLett.100.158103,435.0
10.1103/PhysRevLett.100.198304,435.0
10.1103/PhysRevLett.101.078104,435.0
10.1103/PhysRevLett.102.037801,435.0
10.1103/PhysRevLett.102.078303,435.0
10.1103/PhysRevLett.102.168103,435.0
10.1103/PhysRevLett.102.188301,435.0
10.1103/PhysRevLett.102.197801,435.0
10.1103/PhysRevLett.102.218302,435.0
10.1103/PhysRevLett.104.047802,435.0
10.1103/PhysRevLett.104.228101,435.0
10.1103/PhysRevLett.105.028102,435.0
10.1103/PhysRevLett.105.108301,435.0
10.1103/PhysRevLett.105.120601,435.0
10.1103/PhysRevLett.106.188303,435.0
10.1103/PhysRevLett.108.015501,435.0
10.1103/PhysRevLett.108.038302,435.0
10.1103/PhysRevLett.108.105501,435.0
10.1103/PhysRevLett.109.138301,435.0
10.1103/PhysRevLett.110.088301,435.0
10.1103/PhysRevLett.111.028303,435.0
10.1103/PhysRevLett.111.108105,435.0
10.1103/PhysRevLett.112.098101,435.0
10.1103/PhysRevLett.98.018103,435.0
10.1103/PhysRevLett.98.036102,435.0
10.1103/PhysRevLett.98.088302,435.0
10.1103/PhysRevLett.99.048302,435.0
10.1103/PhysRevLett.99.088101,435.0
