citing_doi,cited_doi
10.1103/PhysRevLett.103.042701,10.1103/PhysRevLett.101.072701
10.1103/PhysRevLett.113.052501,10.1103/PhysRevLett.105.192701
10.1103/PhysRevLett.106.112502,10.1103/PhysRevLett.104.252501
10.1103/PhysRevLett.113.182502,10.1103/PhysRevLett.101.072701
10.1103/PhysRevLett.113.182502,10.1103/PhysRevLett.103.042701
10.1103/PhysRevLett.113.182502,10.1103/PhysRevLett.100.202701
10.1103/PhysRevLett.108.122701,10.1103/PhysRevLett.106.052701
10.1103/PhysRevLett.115.172503,10.1103/PhysRevLett.113.052501
10.1103/PhysRevLett.105.192701,10.1103/PhysRevLett.103.042701
10.1103/PhysRevLett.103.042701,10.1103/PhysRevLett.102.202501
10.1103/PhysRevLett.113.262503,10.1103/PhysRevLett.101.082501
10.1103/PhysRevLett.110.042502,10.1103/PhysRevLett.101.082501
10.1103/PhysRevLett.113.052501,10.1103/PhysRevLett.107.092501
10.1103/RevModPhys.86.317,10.1103/PhysRevLett.106.172701
10.1103/PhysRevLett.112.192701,10.1103/PhysRevLett.106.172701
10.1103/RevModPhys.86.317,10.1103/PhysRevLett.105.192701
10.1103/PhysRevLett.113.182502,10.1103/PhysRevLett.108.122701
10.1103/PhysRevLett.113.182502,10.1103/PhysRevLett.106.112502
10.1103/PhysRevLett.100.252701,10.1103/PhysRevLett.99.182701
10.1103/PhysRevLett.112.192701,10.1103/RevModPhys.86.317
10.1103/RevModPhys.86.317,10.1103/PhysRevLett.100.252701
10.1103/RevModPhys.86.317,10.1103/PhysRevLett.107.202701
10.1103/PhysRevLett.101.092701,10.1103/PhysRevLett.100.202701
10.1103/PhysRevLett.110.042502,10.1103/PhysRevLett.99.162504
10.1103/PhysRevLett.113.262503,10.1103/PhysRevLett.110.042502
10.1103/PhysRevLett.114.251102,10.1103/PhysRevLett.98.122501
10.1103/PhysRevLett.105.192701,10.1103/PhysRevLett.102.202501
10.1103/PhysRevLett.106.172701,10.1103/PhysRevLett.103.232701
10.1103/PhysRevLett.113.022701,10.1103/PhysRevLett.103.202701
10.1103/PhysRevLett.102.192501,10.1103/PhysRevLett.101.072701
10.1103/PhysRevLett.111.012502,10.1103/PhysRevLett.110.042502
10.1103/RevModPhys.86.317,10.1103/PhysRevLett.107.092701
10.1103/PhysRevLett.113.182502,10.1103/PhysRevLett.106.052701
10.1103/PhysRevLett.103.202701,10.1103/PhysRevLett.99.192701
10.1103/PhysRevLett.113.022701,10.1103/RevModPhys.86.317
10.1103/RevModPhys.86.317,10.1103/PhysRevLett.110.072701
10.1103/PhysRevLett.113.022701,10.1103/PhysRevLett.99.192701
10.1103/PhysRevLett.103.232702,10.1103/PhysRevLett.99.192701
10.1103/PhysRevLett.106.112502,10.1103/PhysRevLett.105.192701
10.1103/PhysRevLett.106.052701,10.1103/PhysRevLett.99.162502
10.1103/PhysRevLett.101.082501,10.1103/PhysRevLett.99.162504
10.1103/PhysRevLett.106.112502,10.1103/PhysRevLett.103.042701
10.1103/PhysRevLett.109.032503,10.1103/PhysRevLett.101.082501
10.1103/PhysRevLett.106.052701,10.1103/PhysRevLett.101.092701
10.1103/PhysRevLett.99.202502,10.1103/PhysRevLett.99.162504
10.1103/PhysRevLett.113.262503,10.1103/PhysRevLett.99.162504
10.1103/PhysRevLett.113.182502,10.1103/PhysRevLett.105.192701
10.1103/PhysRevLett.113.182502,10.1103/PhysRevLett.111.012501
10.1103/PhysRevLett.110.072701,10.1103/PhysRevLett.98.122501
10.1103/RevModPhys.86.317,10.1103/PhysRevLett.99.192701
10.1103/RevModPhys.86.317,10.1103/PhysRevLett.106.052701
10.1103/PhysRevLett.113.262503,10.1103/PhysRevLett.102.192501
10.1103/PhysRevLett.106.052701,10.1103/PhysRevLett.101.072701
10.1103/PhysRevLett.101.122501,10.1103/PhysRevLett.100.202701
10.1103/RevModPhys.86.317,10.1103/PhysRevLett.99.182701
10.1103/PhysRevLett.115.172503,10.1103/PhysRevLett.101.122701
10.1103/PhysRevLett.108.122701,10.1103/PhysRevLett.101.072701
10.1103/RevModPhys.86.317,10.1103/PhysRevLett.100.202701
10.1103/PhysRevLett.101.072701,10.1103/PhysRevLett.99.162502
