article_doi,group
10.1103/PhysRevLett.100.027601,1229.0
10.1103/PhysRevLett.100.053002,1229.0
10.1103/PhysRevLett.100.056807,1229.0
10.1103/PhysRevLett.100.117207,1229.0
10.1103/PhysRevLett.100.136103,1229.0
10.1103/PhysRevLett.100.167402,1229.0
10.1103/PhysRevLett.100.186401,1229.0
10.1103/PhysRevLett.100.236404,1229.0
10.1103/PhysRevLett.100.257401,1229.0
10.1103/PhysRevLett.101.046405,1229.0
10.1103/PhysRevLett.101.055502,1229.0
10.1103/PhysRevLett.101.057004,1229.0
10.1103/PhysRevLett.101.106802,1229.0
10.1103/PhysRevLett.101.115503,1229.0
10.1103/PhysRevLett.101.126102,1229.0
10.1103/PhysRevLett.101.126804,1229.0
10.1103/PhysRevLett.101.195501,1229.0
10.1103/PhysRevLett.101.216101,1229.0
10.1103/PhysRevLett.101.266106,1229.0
10.1103/PhysRevLett.102.016402,1229.0
10.1103/PhysRevLett.102.026402,1229.0
10.1103/PhysRevLett.102.056808,1229.0
10.1103/PhysRevLett.102.073005,1229.0
10.1103/PhysRevLett.102.076102,1229.0
10.1103/PhysRevLett.102.096404,1229.0
10.1103/PhysRevLett.102.106104,1229.0
10.1103/PhysRevLett.102.136809,1229.0
10.1103/PhysRevLett.102.185502,1229.0
10.1103/PhysRevLett.102.196101,1229.0
10.1103/PhysRevLett.102.206411,1229.0
10.1103/PhysRevLett.102.235501,1229.0
10.1103/PhysRevLett.103.015901,1229.0
10.1103/PhysRevLett.103.046808,1229.0
10.1103/PhysRevLett.103.046809,1229.0
10.1103/PhysRevLett.103.056101,1229.0
10.1103/PhysRevLett.103.056401,1229.0
10.1103/PhysRevLett.103.096102,1229.0
10.1103/PhysRevLett.103.096103,1229.0
10.1103/PhysRevLett.103.096405,1229.0
10.1103/PhysRevLett.103.116101,1229.0
10.1103/PhysRevLett.103.166101,1229.0
10.1103/PhysRevLett.103.176403,1229.0
10.1103/PhysRevLett.103.187201,1229.0
10.1103/PhysRevLett.103.196401,1229.0
10.1103/PhysRevLett.103.245501,1229.0
10.1103/PhysRevLett.103.256101,1229.0
10.1103/PhysRevLett.104.036102,1229.0
10.1103/PhysRevLett.104.036103,1229.0
10.1103/PhysRevLett.104.065502,1229.0
