citing_doi,cited_doi
10.1103/PhysRevX.1.021021,10.1103/PhysRevLett.98.224101
10.1103/PhysRevLett.111.054102,10.1103/PhysRevLett.100.234101
10.1103/PhysRevLett.107.128701,10.1103/PhysRevLett.103.238701
10.1103/PhysRevLett.107.118102,10.1103/PhysRevLett.102.194102
10.1103/PhysRevLett.102.194102,10.1103/PhysRevLett.99.248103
10.1103/PhysRevLett.104.058701,10.1103/PhysRevLett.100.208701
10.1103/PhysRevLett.110.204102,10.1103/PhysRevLett.98.054102
10.1103/PhysRevLett.109.024101,10.1103/PhysRevLett.99.064101
10.1103/PhysRevLett.108.258701,10.1103/PhysRevLett.99.204101
10.1103/PhysRevLett.110.204102,10.1103/PhysRevLett.99.064101
10.1103/PhysRevLett.104.058701,10.1103/PhysRevLett.98.254101
10.1103/PhysRevLett.113.128102,10.1103/PhysRevLett.102.068105
10.1103/PhysRevLett.115.070602,10.1103/PhysRevLett.111.024102
10.1103/PhysRevLett.105.154101,10.1103/PhysRevLett.98.184101
10.1103/PhysRevLett.107.054101,10.1103/PhysRevLett.104.038701
10.1103/PhysRevLett.103.248105,10.1103/PhysRevLett.99.248103
10.1103/PhysRevLett.106.158701,10.1103/PhysRevLett.105.118102
10.1103/PhysRevX.4.021032,10.1103/PhysRevLett.101.024101
10.1103/PhysRevLett.111.054102,10.1103/PhysRevLett.100.144103
10.1103/PhysRevLett.103.024101,10.1103/PhysRevLett.101.024101
10.1103/PhysRevX.4.011026,10.1103/PhysRevLett.101.244102
10.1103/PhysRevX.4.021032,10.1103/PhysRevLett.111.024102
10.1103/PhysRevLett.108.194102,10.1103/PhysRevLett.104.108701
10.1103/PhysRevLett.99.248103,10.1103/PhysRevLett.98.184101
10.1103/PhysRevX.4.021032,10.1103/PhysRevLett.109.044101
10.1103/PhysRevLett.109.138105,10.1103/PhysRevLett.108.258701
10.1103/PhysRevLett.115.070602,10.1103/PhysRevLett.105.154101
10.1103/PhysRevLett.103.248105,10.1103/PhysRevLett.101.248105
10.1103/PhysRevX.1.021021,10.1103/PhysRevLett.104.058701
10.1103/PhysRevLett.108.258701,10.1103/PhysRevLett.100.144103
10.1103/PhysRevLett.110.204102,10.1103/PhysRevLett.109.024101
10.1103/PhysRevLett.103.024101,10.1103/PhysRevLett.102.194102
10.1103/PhysRevLett.101.248105,10.1103/PhysRevLett.98.184101
10.1103/PhysRevLett.107.118102,10.1103/PhysRevLett.101.154101
10.1103/PhysRevLett.101.154101,10.1103/PhysRevLett.98.184101
10.1103/PhysRevLett.115.070602,10.1103/PhysRevLett.111.024101
10.1103/PhysRevLett.109.024101,10.1103/PhysRevLett.100.158101
10.1103/PhysRevLett.106.188701,10.1103/PhysRevLett.100.208701
10.1103/PhysRevLett.103.024101,10.1103/PhysRevLett.101.154101
10.1103/PhysRevLett.103.248105,10.1103/PhysRevLett.101.154101
10.1103/PhysRevX.4.021032,10.1103/PhysRevLett.105.088301
10.1103/PhysRevLett.109.138105,10.1103/PhysRevLett.100.158101
10.1103/PhysRevLett.105.088301,10.1103/PhysRevLett.99.248103
10.1103/PhysRevLett.109.024101,10.1103/PhysRevLett.103.238701
10.1103/PhysRevLett.105.154101,10.1103/PhysRevLett.101.154101
10.1103/PhysRevLett.114.028701,10.1103/PhysRevLett.107.054101
10.1103/PhysRevX.4.011026,10.1103/PhysRevLett.100.084101
10.1103/PhysRevLett.111.214101,10.1103/PhysRevLett.101.024101
10.1103/PhysRevX.1.021021,10.1103/PhysRevLett.106.154101
10.1103/PhysRevLett.102.098701,10.1103/PhysRevLett.100.234101
10.1103/PhysRevX.4.021032,10.1103/PhysRevLett.104.058302
10.1103/PhysRevLett.103.238701,10.1103/PhysRevLett.100.144103
10.1103/PhysRevX.4.021032,10.1103/PhysRevLett.98.184101
10.1103/PhysRevLett.104.058701,10.1103/PhysRevLett.101.248105
10.1103/PhysRevLett.111.214101,10.1103/PhysRevLett.109.044101
10.1103/PhysRevLett.114.028701,10.1103/PhysRevX.1.021021
10.1103/PhysRevLett.107.034101,10.1103/PhysRevLett.104.058701
10.1103/PhysRevX.1.021021,10.1103/PhysRevLett.107.054101
10.1103/PhysRevLett.103.024101,10.1103/PhysRevLett.99.248103
10.1103/PhysRevX.1.021021,10.1103/PhysRevLett.107.034101
10.1103/PhysRevLett.104.058701,10.1103/PhysRevLett.98.224101
10.1103/PhysRevLett.107.128701,10.1103/PhysRevLett.100.018101
10.1103/PhysRevLett.103.248105,10.1103/PhysRevLett.102.194102
10.1103/PhysRevLett.111.214101,10.1103/PhysRevLett.105.154101
10.1103/PhysRevLett.103.248105,10.1103/PhysRevLett.98.184101
10.1103/PhysRevLett.101.248105,10.1103/PhysRevLett.99.248103
10.1103/PhysRevX.4.021032,10.1103/PhysRevLett.112.148305
10.1103/PhysRevLett.103.248105,10.1103/PhysRevLett.103.024101
10.1103/PhysRevLett.110.204102,10.1103/PhysRevLett.105.154101
10.1103/PhysRevLett.105.154101,10.1103/PhysRevLett.102.194102
10.1103/PhysRevLett.111.024101,10.1103/PhysRevLett.109.024101
10.1103/PhysRevX.4.011026,10.1103/PhysRevLett.109.024101
10.1103/PhysRevLett.102.098701,10.1103/PhysRevLett.98.054102
10.1103/PhysRevLett.113.254101,10.1103/PhysRevLett.99.248103
10.1103/PhysRevLett.107.118102,10.1103/PhysRevLett.105.154101
10.1103/PhysRevLett.107.034101,10.1103/PhysRevLett.98.224101
10.1103/PhysRevLett.107.128701,10.1103/PhysRevLett.100.158101
10.1103/PhysRevLett.109.044101,10.1103/PhysRevLett.102.068105
10.1103/PhysRevX.4.011026,10.1103/PhysRevLett.111.024101
10.1103/PhysRevLett.107.118102,10.1103/PhysRevLett.98.184101
10.1103/PhysRevLett.111.214101,10.1103/PhysRevLett.102.194102
10.1103/PhysRevLett.111.024102,10.1103/PhysRevLett.105.088301
10.1103/PhysRevLett.103.238701,10.1103/PhysRevLett.99.204101
10.1103/PhysRevLett.109.024101,10.1103/PhysRevLett.107.034101
10.1103/PhysRevLett.111.214101,10.1103/PhysRevLett.101.154101
10.1103/PhysRevLett.110.204102,10.1103/PhysRevLett.102.194102
10.1103/PhysRevLett.100.144103,10.1103/PhysRevLett.100.018701
10.1103/PhysRevLett.115.070602,10.1103/PhysRevLett.105.088301
10.1103/PhysRevLett.102.194102,10.1103/PhysRevLett.101.024101
10.1103/PhysRevLett.111.054102,10.1103/PhysRevLett.102.068105
10.1103/PhysRevLett.108.258701,10.1103/PhysRevLett.106.154101
10.1103/PhysRevLett.100.158101,10.1103/PhysRevLett.99.204101
10.1103/PhysRevLett.102.194102,10.1103/PhysRevLett.98.184101
10.1103/PhysRevLett.109.024101,10.1103/PhysRevLett.100.084101
10.1103/PhysRevLett.102.194102,10.1103/PhysRevLett.101.154101
10.1103/PhysRevLett.100.144103,10.1103/PhysRevLett.99.204101
10.1103/PhysRevLett.114.028701,10.1103/PhysRevLett.98.224101
10.1103/PhysRevLett.114.028701,10.1103/PhysRevLett.106.154101
10.1103/PhysRevLett.103.248105,10.1103/PhysRevLett.98.224101
10.1103/PhysRevLett.106.158701,10.1103/PhysRevLett.98.254101
10.1103/PhysRevLett.104.108701,10.1103/PhysRevLett.98.224101
10.1103/PhysRevLett.114.028701,10.1103/PhysRevLett.109.078701
10.1103/PhysRevLett.111.054102,10.1103/PhysRevLett.103.238701
10.1103/PhysRevLett.109.024101,10.1103/PhysRevLett.101.244102
10.1103/PhysRevLett.109.078103,10.1103/PhysRevLett.100.018101
10.1103/PhysRevX.4.011026,10.1103/PhysRevLett.100.158101
10.1103/PhysRevLett.108.258701,10.1103/PhysRevLett.104.038701
10.1103/PhysRevLett.109.138105,10.1103/PhysRevLett.103.238701
10.1103/PhysRevLett.107.034101,10.1103/PhysRevLett.99.064101
10.1103/PhysRevLett.113.254101,10.1103/PhysRevLett.110.204102
10.1103/PhysRevLett.102.194102,10.1103/PhysRevLett.101.248105
10.1103/PhysRevX.4.011026,10.1103/PhysRevLett.99.064101
10.1103/PhysRevLett.105.088301,10.1103/PhysRevLett.101.024101
10.1103/PhysRevLett.101.248105,10.1103/PhysRevLett.99.238106
10.1103/PhysRevLett.109.024101,10.1103/PhysRevLett.100.144103
10.1103/PhysRevLett.114.068302,10.1103/PhysRevLett.104.058302
